,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,avg_weight,avg_height
0,ARIZONA,0.526,0.373943661971831,3,8,0.12,0.11126760563380282,0.6507042253521127,0.563,1.4105633802816901,0.504,0.7105633802816902,0.37,0.5218309859154929,0.76,0.39647887323943665,0.281,1,15,8,115.6,0.33299999999999996,0.24859154929577465,0.498,0.31197183098591547,0.068,0.0647887323943662,0.49859154929577465,0.499,1.4415492957746479,0.435,0.6267605633802817,0.312,0.44929577464788734,0.734,0.3295774647887324,0.229,0.251,0.21830985915492956,0.4830985915492958,1.7669014084507042,0.08800000000000001,0.15070422535211267,0.356,0.5133802816901408,0.358,0.18380281690140846,0.928169014084507,0.477,0.44295774647887326,0.444,0.7169014084507043,0.534,0.147,0.2859154929577465,68.6,0.42464788732394365,1.9845070422535211,15.67,0.071,0.12183098591549296,6.84,0.321,0.45211267605633804,0.369,0.16690140845070423,0.9584507042253522,0.567,0.543661971830986,0.556,0.8992957746478873,0.598,0.153,0.3,0.771,27,204.0,77.6
0,ARKANSAS-LITTLE-ROCK,0.521,0.3007692307692308,14,2,0.095,0.07153846153846154,0.59,0.484,1.3507692307692307,0.427,0.5769230769230769,0.315,0.42615384615384616,0.61,0.26,0.192,10,5,25,94.2,0.289,0.24769230769230768,0.578,0.3353846153846154,0.102,0.08846153846153847,0.6107692307692307,0.509,1.3415384615384616,0.432,0.58,0.394,0.5284615384615384,0.677,0.3576923076923077,0.267,0.305,0.25846153846153846,0.40692307692307694,1.7246153846153847,0.08,0.13307692307692306,0.436,0.5853846153846154,0.353,0.20692307692307693,0.7561538461538462,0.493,0.3730769230769231,0.509,0.8692307692307693,0.541,0.174,0.3353846153846154,66.6,0.4707692307692308,1.5676923076923077,-10.45,0.07400000000000001,0.12230769230769231,-2.22,0.355,0.47923076923076924,0.321,0.15384615384615385,0.8715384615384615,0.485,0.4230769230769231,0.491,0.8376923076923077,0.505,0.185,0.35307692307692307,0.219,7,196.6875,75.9375
0,ARKANSAS-PINE-BLUFF,0.524,0.3028368794326241,13,6,0.11699999999999999,0.10212765957446808,0.5283687943262412,0.496,1.3212765957446808,0.437,0.5780141843971631,0.366,0.4829787234042553,0.675,0.3262411347517731,0.247,3,7,21,95.7,0.24,0.19787234042553192,0.588,0.3468085106382979,0.057,0.04822695035460993,0.625531914893617,0.492,1.3609929078014185,0.433,0.5893617021276596,0.447,0.6085106382978723,0.711,0.4326241134751773,0.318,0.374,0.31560283687943264,0.4319148936170213,1.7723404255319148,0.114,0.19432624113475178,0.36,0.48936170212765956,0.329,0.16099290780141845,0.8716312056737588,0.491,0.42836879432624114,0.564,0.9411347517730496,0.537,0.18600000000000003,0.37659574468085105,68.4,0.4851063829787234,1.6361702127659574,-14.84,0.114,0.1950354609929078,-9.36,0.354,0.46808510638297873,0.329,0.15390070921985816,0.8531914893617021,0.497,0.42411347517730497,0.436,0.7262411347517731,0.528,0.18600000000000003,0.3546099290780142,0.4,14,193.41176470588235,76.41176470588235
0,ARKANSAS-STATE,0.409,0.26666666666666666,13,4,0.079,0.07364341085271318,0.5527131782945737,0.502,1.4806201550387597,0.44,0.6519379844961241,0.329,0.4868217054263566,0.718,0.3496124031007752,0.236,7,7,21,104.3,0.306,0.27829457364341087,0.517,0.36511627906976746,0.09300000000000001,0.08759689922480621,0.6317829457364341,0.558,1.4356589147286822,0.492,0.7062015503875969,0.346,0.4968992248062015,0.711,0.35348837209302325,0.246,0.308,0.24651162790697675,0.45968992248062013,1.955813953488372,0.08,0.14108527131782947,0.347,0.49767441860465117,0.382,0.18992248062015504,0.937984496124031,0.55,0.5162790697674419,0.514,0.8782945736434109,0.585,0.168,0.3387596899224806,70.4,0.4565891472868217,1.8364341085271318,-9.65,0.095,0.16666666666666666,-3.02,0.364,0.5387596899224806,0.34,0.18294573643410852,0.9418604651162791,0.498,0.4689922480620155,0.486,0.8310077519379845,0.536,0.159,0.3248062015503876,0.344,11,197.85714285714286,75.92857142857143
0,ARKANSAS,0.499,0.35406360424028266,7,3,0.138,0.11519434628975266,0.6056537102473498,0.538,1.4975265017667845,0.474,0.7102473498233216,0.374,0.5604240282685512,0.681,0.38162544169611307,0.255,2,15,12,111.8,0.287,0.2480565371024735,0.547,0.3371024734982332,0.087,0.08833922261484099,0.6148409893992933,0.504,1.4332155477031803,0.43,0.6162544169611307,0.408,0.5851590106007067,0.727,0.4254416961130742,0.297,0.315,0.2784452296819788,0.48056537102473496,1.870671378091873,0.066,0.11802120141342756,0.416,0.5964664310954063,0.357,0.2127208480565371,0.8367491166077738,0.482,0.40353356890459363,0.511,0.893286219081272,0.547,0.168,0.3462897526501767,71.3,0.49469964664310956,1.992226148409894,14.76,0.086,0.15406360424028268,9.85,0.321,0.4812720848056537,0.395,0.19010600706713782,1.0162544169611307,0.512,0.5201413427561837,0.489,0.8537102473498234,0.565,0.132,0.2692579505300353,0.657,23,210.15384615384616,77.0
0,ARMY,0.611,0.4157676348547718,12,4,0.08199999999999999,0.06887966804979254,0.6398340248962655,0.524,1.5311203319502074,0.444,0.6804979253112033,0.243,0.37178423236514524,0.658,0.24481327800829875,0.16,5,6,17,103.3,0.271,0.25062240663900415,0.536,0.3369294605809129,0.10099999999999999,0.08962655601659751,0.6730290456431536,0.516,1.4182572614107885,0.443,0.6282157676348548,0.374,0.5311203319502075,0.716,0.3800829875518672,0.268,0.267,0.23319502074688797,0.387551867219917,1.8448132780082989,0.09300000000000001,0.16597510373443983,0.409,0.5800829875518673,0.359,0.208298755186722,0.8381742738589212,0.501,0.4199170124481328,0.504,0.9062240663900415,0.552,0.175,0.35435684647302906,71.7,0.4921161825726141,1.8506224066390042,-8.62,0.079,0.14107883817427386,-7.17,0.418,0.6398340248962655,0.383,0.24481327800829875,0.891286307053942,0.489,0.43568464730290457,0.496,0.8904564315352697,0.542,0.16399999999999998,0.33443983402489624,0.433,13,207.3,76.65
0,AUBURN,0.531,0.3536764705882353,4,7,0.152,0.1323529411764706,0.649264705882353,0.508,1.5455882352941177,0.431,0.6661764705882353,0.398,0.6147058823529412,0.774,0.47573529411764703,0.308,1,15,8,111.5,0.32,0.29926470588235293,0.524,0.32279411764705884,0.09300000000000001,0.08161764705882353,0.6367647058823529,0.497,1.4419117647058823,0.427,0.6161764705882353,0.381,0.549264705882353,0.722,0.3963235294117647,0.275,0.27899999999999997,0.25073529411764706,0.5147058823529411,1.8294117647058823,0.083,0.15220588235294116,0.396,0.5713235294117647,0.351,0.20073529411764707,0.8705882352941177,0.477,0.41544117647058826,0.483,0.8875,0.537,0.182,0.37941176470588234,73.4,0.49411764705882355,2.0463235294117648,15.97,0.10099999999999999,0.18529411764705883,7.29,0.432,0.6676470588235294,0.357,0.23823529411764705,0.8779411764705882,0.487,0.4279411764705882,0.517,0.9485294117647058,0.557,0.141,0.30220588235294116,0.765,26,210.26666666666668,76.73333333333333
0,AUSTIN-PEAY,0.495,0.33065693430656934,9,5,0.08900000000000001,0.07518248175182482,0.5583941605839416,0.505,1.4686131386861314,0.455,0.6678832116788321,0.366,0.537956204379562,0.651,0.35036496350364965,0.239,5,13,15,104.7,0.35700000000000004,0.32408759124087594,0.483,0.29781021897810217,0.092,0.0948905109489051,0.5824817518248175,0.53,1.3291970802919708,0.464,0.6167883211678832,0.396,0.5262773722627737,0.716,0.37664233576642336,0.283,0.28800000000000003,0.22554744525547446,0.5255474452554745,1.7854014598540147,0.083,0.145985401459854,0.363,0.4824817518248175,0.363,0.17518248175182483,0.8467153284671532,0.522,0.4416058394160584,0.478,0.808029197080292,0.565,0.20199999999999999,0.40072992700729926,70.1,0.4897810218978102,1.8335766423357664,-3.28,0.094,0.16423357664233576,-2.5,0.294,0.4321167883211679,0.341,0.14744525547445256,1.0364963503649636,0.502,0.5204379562043796,0.522,0.8824817518248175,0.532,0.168,0.34890510948905107,0.559,19,198.3846153846154,76.53846153846153
0,BALL-STATE,0.529,0.3498069498069498,10,5,0.08900000000000001,0.08648648648648649,0.6872586872586872,0.516,1.4633204633204633,0.452,0.661003861003861,0.339,0.4965250965250965,0.705,0.3498069498069498,0.239,2,14,13,104.7,0.27899999999999997,0.2471042471042471,0.498,0.32355212355212354,0.09699999999999999,0.08725868725868725,0.637065637065637,0.491,1.5266409266409267,0.425,0.6494208494208494,0.293,0.44787644787644787,0.728,0.3258687258687259,0.213,0.273,0.25868725868725867,0.4694980694980695,1.823938223938224,0.096,0.17142857142857143,0.362,0.5521235521235521,0.361,0.19922779922779923,0.9745173745173745,0.462,0.45019305019305017,0.489,0.8957528957528957,0.524,0.146,0.2965250965250965,71.1,0.4223938223938224,1.861003861003861,-1.22,0.07400000000000001,0.13127413127413126,-2.0,0.384,0.5613899613899614,0.337,0.1891891891891892,0.901930501930502,0.523,0.4718146718146718,0.511,0.9343629343629344,0.548,0.161,0.32664092664092664,0.594,19,194.16666666666666,75.83333333333333
0,BAYLOR,0.5479999999999999,0.37527272727272726,9,2,0.122,0.11054545454545454,0.6487272727272727,0.523,1.4596363636363636,0.469,0.6843636363636364,0.319,0.46545454545454545,0.734,0.3418181818181818,0.234,5,15,15,109.1,0.35600000000000004,0.2909090909090909,0.597,0.3629090909090909,0.102,0.10327272727272727,0.5265454545454545,0.479,1.4661818181818183,0.415,0.608,0.302,0.4429090909090909,0.716,0.3170909090909091,0.216,0.292,0.26690909090909093,0.44581818181818184,1.722909090909091,0.084,0.14327272727272727,0.384,0.5629090909090909,0.337,0.18981818181818183,0.9032727272727272,0.463,0.41818181818181815,0.45799999999999996,0.7934545454545454,0.514,0.14800000000000002,0.2909090909090909,68.5,0.4421818181818182,1.8698181818181818,14.6,0.079,0.13454545454545455,9.17,0.303,0.4421818181818182,0.357,0.15781818181818183,1.0174545454545454,0.518,0.5265454545454545,0.542,0.9396363636363636,0.556,0.16699999999999998,0.3367272727272727,0.559,19,212.27272727272728,77.45454545454545
0,BELMONT,0.5870000000000001,0.40075757575757576,6,9,0.065,0.06212121212121212,0.6628787878787878,0.588,1.4037878787878788,0.486,0.6825757575757576,0.279,0.39166666666666666,0.739,0.28939393939393937,0.206,2,14,9,113.3,0.252,0.19545454545454546,0.455,0.2878787878787879,0.106,0.06818181818181818,0.5803030303030303,0.489,1.471969696969697,0.43,0.6333333333333333,0.268,0.3946969696969697,0.737,0.2909090909090909,0.198,0.257,0.2287878787878788,0.43333333333333335,1.7303030303030302,0.08900000000000001,0.15303030303030302,0.35,0.5151515151515151,0.335,0.17272727272727273,0.9568181818181818,0.481,0.46060606060606063,0.485,0.8090909090909091,0.521,0.14800000000000002,0.28939393939393937,68.5,0.4022727272727273,1.940909090909091,5.54,0.071,0.12196969696969696,-2.88,0.542,0.7613636363636364,0.376,0.2863636363636364,0.6424242424242425,0.617,0.39621212121212124,0.515,0.8583333333333333,0.61,0.163,0.3106060606060606,0.727,24,204.91666666666666,77.83333333333333
0,BETHUNE-COOKMAN,0.555,0.3883720930232558,10,8,0.08900000000000001,0.09534883720930233,0.7147286821705426,0.502,1.5806201550387597,0.443,0.7,0.402,0.6356589147286822,0.701,0.44573643410852715,0.282,3,10,14,104.6,0.335,0.32868217054263565,0.5529999999999999,0.37829457364341085,0.08900000000000001,0.08837209302325581,0.6534883720930232,0.48,1.6124031007751938,0.425,0.6844961240310078,0.375,0.6046511627906976,0.7,0.4232558139534884,0.263,0.3,0.30697674418604654,0.5224806201550387,1.9713178294573643,0.085,0.16511627906976745,0.337,0.5426356589147286,0.33,0.17906976744186046,1.069767441860465,0.472,0.5054263565891473,0.479,0.9604651162790697,0.519,0.153,0.34418604651162793,77.7,0.5193798449612403,2.0317829457364343,-12.19,0.081,0.15658914728682172,-12.46,0.372,0.5883720930232558,0.318,0.1868217054263566,0.9922480620155039,0.517,0.5131782945736434,0.521,1.0434108527131782,0.54,0.17300000000000001,0.3930232558139535,0.563,18,203.0,76.91666666666667
0,BINGHAMTON,0.478,0.30200803212851407,12,3,0.11599999999999999,0.10522088353413654,0.6289156626506024,0.51,1.4257028112449799,0.443,0.6321285140562249,0.297,0.42409638554216866,0.64,0.2714859437751004,0.19,7,7,20,101.6,0.26,0.22730923694779118,0.551,0.3453815261044177,0.075,0.06666666666666667,0.6481927710843374,0.513,1.4056224899598393,0.446,0.6265060240963856,0.311,0.43775100401606426,0.708,0.3100401606425703,0.221,0.262,0.22329317269076304,0.39759036144578314,1.7518072289156625,0.084,0.14216867469879518,0.352,0.4947791164658635,0.381,0.18875502008032127,0.9108433734939759,0.481,0.43775100401606426,0.504,0.8714859437751004,0.543,0.156,0.2987951807228916,67.9,0.41927710843373495,1.7244979919678716,-10.27,0.08,0.13654618473895583,-6.34,0.378,0.5389558232931727,0.35,0.18875502008032127,0.8867469879518072,0.5,0.4433734939759036,0.496,0.8562248995983935,0.53,0.158,0.3060240963855422,0.355,11,201.21428571428572,77.0
0,BOISE-STATE,0.486,0.32846153846153847,6,6,0.059000000000000004,0.05384615384615385,0.7007692307692308,0.542,1.4638461538461538,0.461,0.6753846153846154,0.313,0.4576923076923077,0.738,0.3376923076923077,0.231,1,15,9,108.9,0.294,0.2469230769230769,0.513,0.3130769230769231,0.09,0.07538461538461538,0.5915384615384616,0.487,1.43,0.427,0.6107692307692307,0.296,0.4238461538461539,0.724,0.3069230769230769,0.215,0.182,0.15615384615384614,0.4369230769230769,1.7,0.084,0.14923076923076922,0.366,0.5238461538461539,0.327,0.17153846153846153,0.9061538461538462,0.485,0.43923076923076926,0.441,0.7476923076923077,0.521,0.152,0.2923076923076923,70.7,0.44076923076923075,1.9246153846153846,11.21,0.08,0.14076923076923076,3.05,0.425,0.6223076923076923,0.379,0.23615384615384616,0.8415384615384616,0.522,0.43923076923076926,0.5589999999999999,0.9476923076923077,0.572,0.165,0.3330769230769231,0.719,23,204.3846153846154,78.53846153846153
0,BOSTON-COLLEGE,0.519,0.34770318021201413,11,2,0.08800000000000001,0.07773851590106007,0.6530035335689046,0.521,1.4876325088339222,0.45,0.669964664310954,0.307,0.4565371024734982,0.741,0.3385159010600707,0.228,3,14,16,107.7,0.29600000000000004,0.2607773851590106,0.515,0.3413427561837456,0.085,0.07632508833922262,0.6190812720848057,0.518,1.4904593639575971,0.445,0.6628975265017668,0.271,0.40353356890459363,0.744,0.3003533568904594,0.202,0.267,0.23745583038869258,0.43392226148409896,1.8445229681978799,0.079,0.1392226148409894,0.405,0.6042402826855123,0.361,0.2183745583038869,0.8862190812720848,0.502,0.44452296819787984,0.484,0.8565371024734982,0.548,0.155,0.30742049469964666,70.1,0.4028268551236749,1.8890459363957597,9.0,0.071,0.12367491166077739,7.2,0.395,0.5872791519434629,0.359,0.21060070671378092,0.9003533568904594,0.51,0.45936395759717313,0.516,0.9137809187279152,0.554,0.155,0.311660777385159,0.543,19,206.0625,77.875
