,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins,AdjTempo,AdjOE,Off-eFG%,Off-TO%,Off-OR%,Off-FTRate,AdjDE,Def-eFG%,Def-TO%,Def-OR%,Def-FTRate,AvgHgt,EffHgt,C-Hgt,PF-Hgt,SF-Hgt,SG-Hgt,PG-Hgt,Experience,Bench,Continuity,abbreviation
0,0.508,0.28076923076923077,17,4,0.095,0.08384615384615385,0.5738461538461539,0.484,1.2961538461538462,0.427,0.553076923076923,0.417,0.54,0.678,0.36615384615384616,0.282,2,8,19,96.3,0.29100000000000004,0.24384615384615385,0.557,0.33384615384615385,0.095,0.08153846153846153,0.5938461538461538,0.513,1.3176923076923077,0.455,0.5992307692307692,0.441,0.5815384615384616,0.675,0.3923076923076923,0.298,0.299,0.24461538461538462,0.4676923076923077,1.7453846153846153,0.11,0.18461538461538463,0.33,0.43538461538461537,0.355,0.15461538461538463,0.8823076923076923,0.504,0.44461538461538463,0.506,0.8384615384615385,0.548,0.17600000000000002,0.34,67.3,0.48384615384615387,1.6215384615384616,-14.43,0.099,0.16615384615384615,-8.18,0.341,0.44153846153846155,0.338,0.14923076923076922,0.8546153846153847,0.473,0.40384615384615385,0.494,0.8176923076923077,0.522,0.191,0.3676923076923077,0.406,13,65.3,96.6,48.4,22.1,29.1,42.4,109.7,51.6,19.7,30.7,45.0,77.2,-0.3,-0.1,-0.5,0.2,1.2,1.3,1.16,33.4,51.8,ARKANSAS-PINE-BLUFF
0,0.456,0.2770992366412214,13,2,0.11800000000000001,0.10610687022900764,0.616793893129771,0.48,1.4534351145038167,0.418,0.6076335877862595,0.379,0.5503816793893129,0.735,0.40458015267175573,0.278,4,10,19,102.6,0.332,0.30763358778625954,0.509,0.3198473282442748,0.095,0.08625954198473282,0.6190839694656488,0.506,1.4213740458015267,0.442,0.6282442748091603,0.426,0.6061068702290077,0.742,0.449618320610687,0.316,0.29100000000000004,0.25267175572519085,0.48244274809160304,1.8893129770992367,0.084,0.1465648854961832,0.368,0.5229007633587787,0.35,0.183206106870229,0.898473282442748,0.495,0.4450381679389313,0.485,0.8717557251908397,0.553,0.151,0.3045801526717557,70.2,0.5221374045801527,1.800763358778626,-7.1,0.08,0.13969465648854962,-1.23,0.372,0.5412213740458015,0.334,0.18091603053435115,0.9122137404580153,0.468,0.4267175572519084,0.515,0.9244274809160306,0.525,0.166,0.3419847328244275,0.406,13,68.3,102.4,47.2,19.3,33.7,37.9,110.2,51.6,17.1,29.9,43.7,76.3,-0.2,-0.7,0.3,-0.6,-1.1,-0.4,1.03,32.0,51.7,ARKANSAS-STATE
0,0.608,0.3963503649635037,8,5,0.154,0.12554744525547445,0.589051094890511,0.51,1.4627737226277373,0.446,0.6518248175182482,0.384,0.5613138686131387,0.668,0.37518248175182484,0.256,6,12,16,104.2,0.28300000000000003,0.2518248175182482,0.54,0.3218978102189781,0.09,0.08248175182481751,0.6386861313868614,0.494,1.408029197080292,0.424,0.5963503649635037,0.417,0.5868613138686132,0.689,0.4043795620437956,0.287,0.345,0.310948905109489,0.5321167883211679,1.794160583941606,0.086,0.15474452554744525,0.42,0.591970802919708,0.333,0.19708029197080293,0.8160583941605839,0.489,0.39927007299270073,0.53,0.9496350364963504,0.532,0.193,0.40364963503649637,71.7,0.5058394160583941,1.8678832116788322,11.75,0.11199999999999999,0.20145985401459854,8.78,0.375,0.5481751824817518,0.345,0.18905109489051095,0.9145985401459854,0.506,0.46277372262773725,0.47,0.8408759124087591,0.54,0.16,0.3284671532846715,0.529,18,70.4,110.1,51.0,18.3,28.3,38.4,97.2,49.4,22.5,34.8,41.7,77.5,0.6,1.0,0.1,0.2,0.7,1.5,0.6,31.6,19.5,ARKANSAS
0,0.596,0.38984375,13,3,0.046,0.0390625,0.6765625,0.497,1.528125,0.428,0.65390625,0.241,0.36796875,0.684,0.2515625,0.165,4,10,19,98.9,0.218,0.20234375,0.527,0.346875,0.124,0.10546875,0.72578125,0.527,1.44765625,0.455,0.65859375,0.281,0.40625,0.679,0.27578125,0.191,0.221,0.1921875,0.39296875,1.80078125,0.094,0.16796875,0.407,0.58984375,0.352,0.2078125,0.8578125,0.526,0.45078125,0.511,0.91796875,0.549,0.172,0.340625,71.7,0.425,1.771875,-7.57,0.086,0.1546875,-4.73,0.441,0.67421875,0.315,0.2125,0.85390625,0.517,0.44140625,0.489,0.87890625,0.52,0.147,0.29375,0.406,13,69.8,96.3,49.6,16.5,21.6,24.3,103.2,53.3,18.7,22.9,28.4,75.4,-0.7,-0.3,-1.1,-2.8,-2.5,-0.5,2.02,35.9,72.9,ARMY
0,0.521,0.3541795665634675,6,4,0.156,0.11764705882352941,0.5647058823529412,0.543,1.5102167182662538,0.45,0.6792569659442724,0.312,0.47058823529411764,0.711,0.33436532507739936,0.221,2,15,10,114.1,0.316,0.28297213622291023,0.522,0.3040247678018576,0.11699999999999999,0.0891640866873065,0.611764705882353,0.512,1.33312693498452,0.437,0.5820433436532507,0.359,0.4792569659442725,0.707,0.33869969040247677,0.254,0.317,0.2625386996904025,0.42724458204334365,1.7027863777089782,0.081,0.13993808049535603,0.435,0.5801857585139318,0.345,0.2,0.7529411764705882,0.507,0.38204334365325077,0.508,0.8743034055727554,0.545,0.213,0.42291021671826623,69.2,0.45263157894736844,1.9739938080495356,20.84,0.132,0.2284829721362229,10.92,0.494,0.7455108359133127,0.377,0.28111455108359135,0.7647058823529411,0.521,0.39814241486068114,0.49200000000000005,0.8476780185758513,0.569,0.14300000000000002,0.2885448916408669,0.75,30,67.9,120.9,54.4,16.8,31.6,30.9,95.9,51.7,24.6,32.9,36.3,76.6,0.1,-0.3,0.5,0.1,-0.2,-1.4,1.97,31.4,64.4,AUBURN
0,0.479,0.31791044776119404,7,8,0.08800000000000001,0.0880597014925373,0.6977611940298507,0.523,1.4119402985074627,0.47,0.6634328358208955,0.375,0.5291044776119403,0.702,0.3716417910447761,0.263,7,7,17,103.1,0.27699999999999997,0.2298507462686567,0.45399999999999996,0.2880597014925373,0.087,0.08208955223880597,0.6,0.47,1.532089552238806,0.415,0.6350746268656716,0.299,0.45746268656716416,0.705,0.32238805970149254,0.21,0.281,0.27238805970149255,0.4783582089552239,1.7626865671641792,0.09300000000000001,0.16716417910447762,0.349,0.5350746268656716,0.318,0.1701492537313433,0.9970149253731343,0.466,0.46492537313432836,0.485,0.8723880597014926,0.504,0.154,0.31791044776119404,71.7,0.43208955223880596,1.8492537313432835,3.39,0.09,0.1619402985074627,1.21,0.328,0.4634328358208955,0.325,0.15074626865671642,0.9485074626865672,0.541,0.5126865671641792,0.515,0.9276119402985075,0.556,0.177,0.3582089552238806,0.485,16,70.3,102.5,51.8,20.2,27.5,37.6,98.6,47.2,17.9,28.7,30.3,77.2,0.2,-0.3,0.8,0.5,0.1,0.9,2.47,28.3,67.9,BALL-STATE
0,0.544,0.3465201465201465,6,5,0.138,0.11648351648351649,0.6087912087912087,0.512,1.4402930402930403,0.442,0.6366300366300366,0.323,0.4652014652014652,0.677,0.315018315018315,0.219,5,13,14,107.6,0.376,0.32967032967032966,0.556,0.3238095238095238,0.126,0.10695970695970695,0.547985347985348,0.491,1.3692307692307693,0.425,0.5824175824175825,0.365,0.49963369963369964,0.683,0.3413919413919414,0.249,0.289,0.24761904761904763,0.44835164835164837,1.6864468864468865,0.08900000000000001,0.147985347985348,0.382,0.5230769230769231,0.345,0.18021978021978022,0.8461538461538461,0.475,0.4021978021978022,0.45899999999999996,0.7956043956043956,0.525,0.161,0.30842490842490844,66.5,0.46593406593406594,1.789010989010989,13.38,0.092,0.15311355311355312,9.26,0.408,0.5882783882783883,0.341,0.20073260073260074,0.852014652014652,0.512,0.4358974358974359,0.541,0.9384615384615385,0.538,0.16399999999999998,0.32673992673992674,0.588,20,65.2,115.3,51.2,19.7,37.9,32.3,98.8,49.1,18.6,29.4,36.5,76.9,0.0,0.1,-0.0,-0.8,0.1,1.1,1.26,34.9,29.8,BAYLOR
0,0.619,0.4849624060150376,3,12,0.091,0.09398496240601503,0.7436090225563909,0.58,1.5744360902255639,0.498,0.7834586466165413,0.286,0.4496240601503759,0.737,0.33157894736842103,0.211,1,13,6,116.2,0.251,0.21503759398496242,0.449,0.3022556390977444,0.099,0.08721804511278196,0.6406015037593985,0.484,1.586466165413534,0.424,0.6729323308270677,0.27,0.42781954887218043,0.696,0.29774436090225564,0.188,0.24100000000000002,0.23609022556390977,0.4150375939849624,1.8338345864661654,0.081,0.15037593984962405,0.352,0.5586466165413534,0.341,0.19022556390977444,1.0278195488721804,0.47,0.48270676691729325,0.478,0.8766917293233083,0.512,0.145,0.3030075187969925,74.2,0.3827067669172932,2.156390977443609,9.12,0.08900000000000001,0.16541353383458646,-2.6,0.44,0.6932330827067669,0.372,0.2578947368421053,0.881203007518797,0.596,0.5255639097744361,0.522,0.9586466165413534,0.603,0.13699999999999998,0.28270676691729324,0.818,27,71.3,115.6,57.6,15.2,25.3,28.5,101.5,48.7,16.0,25.0,27.4,77.5,1.5,1.8,1.2,-0.3,-0.1,0.6,1.56,26.9,48.6,BELMONT
0,0.5329999999999999,0.3552,12,3,0.08800000000000001,0.0864,0.6872,0.492,1.5192,0.439,0.6664,0.363,0.5512,0.61,0.336,0.221,4,11,17,98.6,0.342,0.332,0.5589999999999999,0.3512,0.1,0.1008,0.6384,0.467,1.5208,0.413,0.6288,0.361,0.5496,0.681,0.3744,0.246,0.302,0.2976,0.4776,1.796,0.095,0.1768,0.357,0.5432,0.302,0.164,0.9776,0.475,0.4648,0.479,0.936,0.504,0.17600000000000002,0.3816,74.3,0.488,1.832,-11.98,0.10099999999999999,0.1872,-9.74,0.334,0.508,0.321,0.1632,1.0112,0.498,0.5032,0.521,1.0192,0.514,0.184,0.4008,0.452,14,72.2,93.6,48.3,21.5,33.5,37.1,105.5,47.8,19.7,31.5,36.6,76.5,0.0,-0.0,0.0,0.6,0.1,-2.6,1.02,37.5,46.1,BETHUNE-COOKMAN
0,0.409,0.24545454545454545,12,5,0.126,0.11515151515151516,0.6181818181818182,0.505,1.3954545454545455,0.431,0.6007575757575757,0.245,0.3424242424242424,0.644,0.22045454545454546,0.158,11,5,23,96.9,0.214,0.18484848484848485,0.616,0.4090909090909091,0.09,0.07196969696969698,0.6787878787878788,0.519,1.4977272727272728,0.444,0.6643939393939394,0.246,0.36893939393939396,0.663,0.2446969696969697,0.163,0.311,0.2787878787878788,0.38636363636363635,1.8,0.102,0.1712121212121212,0.39,0.5848484848484848,0.387,0.2265151515151515,0.9128787878787878,0.48,0.43787878787878787,0.544,0.9575757575757575,0.538,0.147,0.2878787878787879,67.3,0.35909090909090907,1.6303030303030304,-13.92,0.08199999999999999,0.13863636363636364,-4.69,0.428,0.5969696969696969,0.349,0.20833333333333334,0.7984848484848485,0.491,0.3924242424242424,0.456,0.803030303030303,0.523,0.166,0.3098484848484849,0.303,10,65.8,96.1,49.5,18.5,20.9,24.3,112.9,52.3,16.8,31.7,25.2,75.9,-1.1,-0.0,-2.1,-1.5,-0.4,-0.4,1.85,21.7,39.9,BINGHAMTON
