,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
MCNEESE-STATE,MCNEESE-STATE,0.45399999999999996,0.3217391304347826,8,0,0.113,0.10144927536231885,0.6840579710144927,0.496,1.5898550724637681,0.446,0.7086956521739131,0.331,0.5260869565217391,0.603,0.3173913043478261,0.2,0,4,11,99.4,0.358,0.3521739130434783,0.5589999999999999,0.34347826086956523,0.07200000000000001,0.07681159420289856,0.6318840579710145,0.486,1.4652173913043478,0.419,0.6144927536231884,0.365,0.5347826086956522,0.721,0.3855072463768116,0.263,0.257,0.23623188405797102,0.43623188405797103,1.808695652173913,0.11,0.21014492753623187,0.387,0.5666666666666667,0.343,0.19420289855072465,0.8985507246376812,0.468,0.42028985507246375,0.456,0.8681159420289855,0.526,0.19699999999999998,0.4217391304347826,76.2,0.4811594202898551,1.8942028985507247,-10.41,0.128,0.24347826086956523,1.9,0.332,0.527536231884058,0.302,0.15942028985507245,1.0623188405797102,0.517,0.5492753623188406,0.544,1.036231884057971,0.515,0.185,0.41884057971014493,0.353,6
MEMPHIS,MEMPHIS,0.583,0.39666666666666667,4,1,0.17300000000000001,0.15,0.6433333333333333,0.528,1.45,0.469,0.68,0.411,0.5966666666666667,0.679,0.405,0.279,1,7,6,104.8,0.385,0.33166666666666667,0.5329999999999999,0.32166666666666666,0.10800000000000001,0.105,0.53,0.473,1.5,0.402,0.6033333333333334,0.33,0.495,0.697,0.345,0.23,0.317,0.29833333333333334,0.5,1.765,0.136,0.25166666666666665,0.423,0.635,0.336,0.21333333333333335,0.865,0.451,0.39,0.45899999999999996,0.8283333333333334,0.509,0.19,0.4066666666666667,73.9,0.47833333333333333,1.935,13.21,0.11900000000000001,0.22,6.41,0.329,0.4766666666666667,0.357,0.17,0.9733333333333334,0.524,0.51,0.541,0.975,0.558,0.205,0.4483333333333333,0.6,9
MERCER,MERCER,0.602,0.3867768595041322,5,2,0.078,0.06942148760330578,0.6545454545454545,0.521,1.449586776859504,0.444,0.6429752066115703,0.255,0.3702479338842975,0.754,0.2793388429752066,0.193,1,5,7,103.4,0.252,0.2115702479338843,0.523,0.3322314049586777,0.096,0.07768595041322314,0.6264462809917355,0.504,1.4528925619834712,0.437,0.6347107438016529,0.276,0.40165289256198344,0.749,0.30082644628099175,0.207,0.267,0.23801652892561984,0.3504132231404959,1.765289256198347,0.107,0.18512396694214875,0.39,0.5669421487603306,0.344,0.19504132231404958,0.8859504132231405,0.496,0.4396694214876033,0.5,0.8644628099173554,0.537,0.163,0.32066115702479336,69.2,0.371900826446281,1.7884297520661157,-5.1,0.10800000000000001,0.18677685950413223,-1.03,0.439,0.6363636363636364,0.351,0.2231404958677686,0.8132231404958677,0.516,0.41983471074380163,0.5,0.8661157024793389,0.55,0.16399999999999998,0.31900826446280994,0.533,8
MERRIMACK,MERRIMACK,0.469,0.246875,6,3,0.139,0.115625,0.490625,0.473,1.3078125,0.403,0.5265625,0.26,0.340625,0.702,0.2390625,0.183,2,5,8,92.2,0.182,0.153125,0.596,0.3296875,0.1,0.0765625,0.6890625,0.486,1.296875,0.427,0.553125,0.337,0.4375,0.707,0.309375,0.239,0.376,0.2953125,0.3546875,1.5703125,0.08900000000000001,0.1421875,0.357,0.4625,0.334,0.1546875,0.834375,0.478,0.3984375,0.605,0.984375,0.522,0.21100000000000002,0.4015625,64.0,0.396875,1.4765625,-10.09,0.14800000000000002,0.2375,-4.16,0.417,0.5453125,0.338,0.184375,0.7625,0.449,0.3421875,0.395,0.64375,0.502,0.158,0.275,0.5,8
MIAMI-FL,MIAMI-FL,0.484,0.32941176470588235,1,3,0.09699999999999999,0.08235294117647059,0.5955882352941176,0.535,1.4426470588235294,0.472,0.6808823529411765,0.338,0.48823529411764705,0.747,0.36470588235294116,0.253,1,8,4,109.8,0.22,0.17794117647058824,0.5670000000000001,0.38088235294117645,0.08199999999999999,0.07647058823529412,0.6323529411764706,0.536,1.4691176470588236,0.457,0.6720588235294118,0.253,0.3720588235294118,0.692,0.25735294117647056,0.175,0.299,0.25441176470588234,0.4117647058823529,1.8308823529411764,0.073,0.1264705882352941,0.424,0.6235294117647059,0.368,0.22941176470588234,0.8455882352941176,0.523,0.4426470588235294,0.534,0.8867647058823529,0.556,0.174,0.34558823529411764,69.5,0.38529411764705884,1.9073529411764707,8.08,0.121,0.21029411764705883,5.02,0.355,0.5117647058823529,0.353,0.18088235294117647,0.9308823529411765,0.537,0.5,0.466,0.7735294117647059,0.57,0.125,0.23970588235294119,0.765,13
MIAMI-OH,MIAMI-OH,0.48,0.3433628318584071,4,2,0.11,0.09557522123893805,0.6831858407079646,0.532,1.568141592920354,0.456,0.7150442477876107,0.243,0.3805309734513274,0.767,0.2920353982300885,0.186,3,5,7,112.8,0.289,0.25663716814159293,0.513,0.31504424778761064,0.096,0.08495575221238938,0.631858407079646,0.478,1.5044247787610618,0.408,0.6141592920353982,0.256,0.3858407079646018,0.739,0.2849557522123894,0.189,0.265,0.24601769911504426,0.4230088495575221,1.7221238938053098,0.077,0.13451327433628318,0.421,0.6336283185840708,0.33,0.2088495575221239,0.8707964601769912,0.465,0.40530973451327434,0.483,0.8778761061946903,0.51,0.151,0.2991150442477876,69.5,0.3769911504424779,1.961061946902655,1.16,0.075,0.13097345132743363,-0.11,0.435,0.6814159292035398,0.351,0.23893805309734514,0.8867256637168142,0.537,0.4761061946902655,0.517,0.9398230088495575,0.561,0.122,0.2424778761061947,0.5,7
MICHIGAN-STATE,MICHIGAN-STATE,0.633,0.425,0,3,0.162,0.159375,0.7390625,0.535,1.4359375,0.468,0.671875,0.334,0.4796875,0.73,0.35,0.244,0,8,2,107.4,0.324,0.2703125,0.49,0.2984375,0.099,0.09375,0.5640625,0.447,1.5453125,0.394,0.609375,0.242,0.3734375,0.703,0.2625,0.17,0.24600000000000002,0.240625,0.453125,1.64375,0.1,0.1765625,0.363,0.5609375,0.29,0.1625,0.984375,0.454,0.446875,0.444,0.8046875,0.477,0.14,0.2796875,70.3,0.384375,1.8875,16.87,0.08800000000000001,0.1546875,7.12,0.342,0.490625,0.395,0.19375,0.9453125,0.506,0.478125,0.556,1.009375,0.567,0.17800000000000002,0.359375,0.875,14
MICHIGAN,MICHIGAN,0.523,0.3557692307692308,3,1,0.079,0.075,0.7076923076923077,0.529,1.4461538461538461,0.471,0.6807692307692308,0.295,0.4269230769230769,0.68,0.2903846153846154,0.201,2,4,6,106.2,0.312,0.25769230769230766,0.405,0.25384615384615383,0.073,0.06923076923076923,0.5673076923076923,0.464,1.5346153846153847,0.409,0.6269230769230769,0.229,0.35192307692307695,0.705,0.24807692307692308,0.162,0.24600000000000002,0.23076923076923078,0.40576923076923077,1.6711538461538462,0.076,0.13076923076923078,0.38,0.5826923076923077,0.29,0.16923076923076924,0.9519230769230769,0.481,0.4576923076923077,0.45299999999999996,0.7980769230769231,0.491,0.127,0.24807692307692308,68.5,0.375,1.8192307692307692,12.88,0.065,0.11153846153846154,6.96,0.34,0.49230769230769234,0.34,0.1673076923076923,0.9538461538461539,0.538,0.5134615384615384,0.547,0.9653846153846154,0.552,0.161,0.3153846153846154,0.538,7
MIDDLE-TENNESSEE,MIDDLE-TENNESSEE,0.461,0.30833333333333335,6,1,0.124,0.10833333333333334,0.6133333333333333,0.509,1.505,0.444,0.6683333333333333,0.313,0.4716666666666667,0.731,0.345,0.229,0,6,6,105.2,0.302,0.27,0.48700000000000004,0.2833333333333333,0.096,0.08166666666666667,0.6233333333333333,0.488,1.3583333333333334,0.428,0.5816666666666667,0.364,0.495,0.707,0.35,0.258,0.28300000000000003,0.24166666666666667,0.43,1.675,0.09300000000000001,0.16666666666666666,0.357,0.485,0.333,0.16166666666666665,0.8733333333333333,0.481,0.42,0.495,0.865,0.526,0.209,0.42,71.3,0.4766666666666667,1.8766666666666667,1.73,0.124,0.22166666666666668,-0.89,0.435,0.655,0.298,0.195,0.85,0.557,0.47333333333333333,0.505,0.8833333333333333,0.543,0.162,0.335,0.6,9
MILWAUKEE,MILWAUKEE,0.48100000000000004,0.284375,5,3,0.095,0.0875,0.7046875,0.477,1.40625,0.42,0.590625,0.269,0.378125,0.698,0.2640625,0.188,4,2,11,93.0,0.23399999999999999,0.2046875,0.513,0.3171875,0.08,0.0703125,0.671875,0.462,1.5671875,0.395,0.61875,0.256,0.4015625,0.763,0.30625,0.195,0.29100000000000004,0.2890625,0.3671875,1.7546875,0.106,0.1828125,0.412,0.6453125,0.327,0.2109375,0.921875,0.442,0.4078125,0.514,0.9609375,0.499,0.129,0.2609375,69.0,0.421875,1.6046875,-11.04,0.075,0.1296875,-3.17,0.376,0.528125,0.302,0.159375,0.878125,0.491,0.43125,0.486,0.909375,0.506,0.17600000000000002,0.3390625,0.313,5
MINNESOTA,MINNESOTA,0.474,0.3017543859649123,2,3,0.08,0.07719298245614035,0.6631578947368421,0.511,1.4157894736842105,0.45,0.6368421052631579,0.264,0.3736842105263158,0.704,0.2631578947368421,0.186,2,5,4,102.4,0.168,0.14385964912280702,0.493,0.30350877192982456,0.1,0.0912280701754386,0.712280701754386,0.472,1.4473684210526316,0.425,0.6157894736842106,0.225,0.3263157894736842,0.731,0.23859649122807017,0.165,0.251,0.22280701754385965,0.39473684210526316,1.6035087719298247,0.066,0.11052631578947368,0.332,0.4807017543859649,0.277,0.13333333333333333,0.9666666666666667,0.499,0.4824561403508772,0.537,0.9350877192982456,0.5,0.15,0.2824561403508772,66.7,0.3385964912280702,1.7087719298245614,9.09,0.09,0.15087719298245614,4.8,0.357,0.5052631578947369,0.34,0.17192982456140352,0.9105263157894737,0.511,0.4649122807017544,0.46299999999999997,0.8070175438596491,0.536,0.124,0.22456140350877193,0.714,10
MISSISSIPPI-STATE,MISSISSIPPI-STATE,0.54,0.3685950413223141,1,0,0.139,0.10578512396694215,0.6578512396694215,0.531,1.4297520661157024,0.477,0.6826446280991736,0.334,0.47768595041322315,0.734,0.3504132231404959,0.245,1,9,4,112.9,0.35700000000000004,0.2909090909090909,0.556,0.32066115702479336,0.069,0.06776859504132231,0.5239669421487604,0.493,1.3834710743801653,0.417,0.5768595041322314,0.228,0.315702479338843,0.696,0.21983471074380165,0.159,0.22899999999999998,0.19504132231404958,0.3950413223140496,1.5851239669421489,0.09,0.1487603305785124,0.449,0.6214876033057851,0.34,0.2115702479338843,0.7619834710743801,0.479,0.3652892561983471,0.431,0.71900826446281,0.517,0.172,0.31900826446280994,66.2,0.35206611570247937,1.8694214876033057,12.4,0.124,0.2049586776859504,0.93,0.316,0.4512396694214876,0.341,0.1537190082644628,0.9785123966942149,0.541,0.5289256198347108,0.569,0.9487603305785124,0.564,0.14800000000000002,0.28760330578512394,0.733,11
MISSISSIPPI-VALLEY-STATE,MISSISSIPPI-VALLEY-STATE,0.489,0.2743362831858407,9,1,0.07,0.06725663716814159,0.5097345132743363,0.413,1.5628318584070797,0.359,0.5610619469026549,0.293,0.4584070796460177,0.641,0.2938053097345133,0.188,4,0,13,84.4,0.231,0.25309734513274335,0.5579999999999999,0.43716814159292033,0.102,0.09911504424778761,0.8442477876106195,0.607,1.4761061946902654,0.531,0.784070796460177,0.388,0.5734513274336284,0.698,0.4,0.271,0.35,0.2743362831858407,0.4283185840707965,2.192920353982301,0.09699999999999999,0.18230088495575222,0.347,0.511504424778761,0.439,0.2247787610619469,0.9646017699115044,0.58,0.5592920353982301,0.595,1.1185840707964603,0.627,0.188,0.40353982300884955,75.1,0.4743362831858407,1.584070796460177,-25.74,0.09699999999999999,0.18230088495575222,-1.17,0.381,0.5946902654867257,0.283,0.168141592920354,0.968141592920354,0.406,0.3929203539823009,0.405,0.7628318584070797,0.445,0.165,0.35221238938053095,0.071,1
MISSISSIPPI,MISSISSIPPI,0.557,0.3487603305785124,2,0,0.084,0.07603305785123966,0.6628099173553719,0.49,1.4595041322314048,0.429,0.6264462809917355,0.28,0.40826446280991735,0.696,0.28429752066115704,0.195,1,8,6,98.8,0.267,0.2396694214876033,0.598,0.35702479338842974,0.076,0.06942148760330578,0.6595041322314049,0.472,1.4198347107438016,0.42,0.596694214876033,0.267,0.3785123966942149,0.677,0.256198347107438,0.18,0.255,0.22644628099173553,0.39669421487603307,1.596694214876033,0.09699999999999999,0.16859504132231404,0.362,0.5140495867768595,0.286,0.14710743801652892,0.9057851239669421,0.496,0.44958677685950416,0.495,0.8859504132231405,0.499,0.18899999999999997,0.371900826446281,69.5,0.3685950413223141,1.715702479338843,5.99,0.11599999999999999,0.20165289256198346,1.19,0.377,0.5504132231404959,0.324,0.17851239669421487,0.9090909090909091,0.493,0.4479338842975207,0.505,0.9024793388429752,0.519,0.16,0.3140495867768595,0.6,9
MISSOURI-KANSAS-CITY,MISSOURI-KANSAS-CITY,0.542,0.3535714285714286,5,3,0.078,0.06428571428571428,0.6428571428571429,0.527,1.4125,0.461,0.6517857142857143,0.276,0.3892857142857143,0.693,0.26964285714285713,0.191,0,5,6,100.4,0.193,0.1625,0.569,0.30178571428571427,0.102,0.08928571428571429,0.6785714285714286,0.475,1.2410714285714286,0.427,0.5303571428571429,0.42,0.5214285714285715,0.709,0.36964285714285716,0.298,0.172,0.13392857142857142,0.4035714285714286,1.5482142857142858,0.085,0.14821428571428572,0.337,0.41785714285714287,0.282,0.11785714285714285,0.8232142857142857,0.501,0.4125,0.502,0.8125,0.52,0.21600000000000003,0.4107142857142857,70.0,0.5017857142857143,1.7571428571428571,-7.96,0.113,0.1982142857142857,-3.5,0.378,0.5339285714285714,0.344,0.18392857142857144,0.8785714285714286,0.533,0.46785714285714286,0.498,0.8053571428571429,0.55,0.158,0.3,0.571,8
MISSOURI-STATE,MISSOURI-STATE,0.46799999999999997,0.33379310344827584,2,3,0.08800000000000001,0.08,0.6537931034482759,0.569,1.463448275862069,0.487,0.713103448275862,0.256,0.37517241379310345,0.779,0.2924137931034483,0.2,3,7,6,113.8,0.256,0.20551724137931035,0.41200000000000003,0.25103448275862067,0.08900000000000001,0.07586206896551724,0.5986206896551725,0.485,1.4413793103448276,0.423,0.6096551724137931,0.283,0.40827586206896554,0.726,0.296551724137931,0.206,0.23399999999999999,0.2,0.4110344827586207,1.6951724137931035,0.081,0.1393103448275862,0.371,0.5351724137931034,0.335,0.1793103448275862,0.9062068965517242,0.475,0.4303448275862069,0.48200000000000004,0.7986206896551724,0.518,0.152,0.29379310344827586,68.9,0.3931034482758621,1.9586206896551723,7.12,0.083,0.14206896551724138,-1.35,0.416,0.6082758620689656,0.395,0.24,0.8551724137931035,0.553,0.4731034482758621,0.518,0.8593103448275862,0.597,0.145,0.2786206896551724,0.667,12
MISSOURI,MISSOURI,0.465,0.27768595041322314,4,0,0.11,0.09752066115702479,0.6148760330578512,0.447,1.4760330578512397,0.404,0.596694214876033,0.311,0.45950413223140496,0.73,0.33553719008264465,0.227,2,6,8,94.6,0.326,0.30247933884297523,0.49,0.31900826446280994,0.079,0.07603305785123966,0.6264462809917355,0.529,1.4198347107438016,0.459,0.6512396694214876,0.324,0.45950413223140496,0.662,0.30413223140495865,0.214,0.265,0.22148760330578512,0.41652892561983473,1.8049586776859503,0.096,0.16859504132231404,0.376,0.5338842975206611,0.372,0.19834710743801653,0.8859504132231405,0.511,0.45289256198347105,0.48,0.8479338842975207,0.551,0.168,0.3305785123966942,69.9,0.41983471074380163,1.6545454545454545,-3.84,0.095,0.1669421487603306,4.95,0.345,0.509090909090909,0.247,0.1256198347107438,0.9669421487603306,0.487,0.47107438016528924,0.52,0.9173553719008265,0.488,0.174,0.35702479338842974,0.467,7
MONMOUTH,MONMOUTH,0.45,0.2826923076923077,2,7,0.09699999999999999,0.08076923076923077,0.6923076923076923,0.506,1.4115384615384616,0.446,0.6288461538461538,0.343,0.4846153846153846,0.806,0.3903846153846154,0.277,1,3,3,104.4,0.28,0.23076923076923078,0.505,0.2865384615384615,0.087,0.08076923076923077,0.5923076923076923,0.453,1.4576923076923076,0.389,0.5673076923076923,0.326,0.475,0.737,0.35,0.24,0.262,0.24615384615384617,0.45,1.6711538461538462,0.091,0.1576923076923077,0.426,0.6211538461538462,0.3,0.18653846153846154,0.8365384615384616,0.455,0.38076923076923075,0.47600000000000003,0.8384615384615385,0.496,0.153,0.3038461538461538,69.7,0.4423076923076923,1.8192307692307692,6.32,0.085,0.14807692307692308,0.4,0.339,0.47884615384615387,0.357,0.17115384615384616,0.9326923076923077,0.491,0.4576923076923077,0.524,0.9230769230769231,0.554,0.168,0.33076923076923076,0.769,10
MONTANA-STATE,MONTANA-STATE,0.531,0.35507246376811596,4,4,0.095,0.08405797101449275,0.6492753623188405,0.544,1.4159420289855071,0.472,0.6681159420289855,0.349,0.49420289855072463,0.727,0.35942028985507246,0.254,1,6,5,107.2,0.249,0.20579710144927535,0.41200000000000003,0.23623188405797102,0.076,0.06521739130434782,0.6202898550724638,0.476,1.3681159420289855,0.419,0.5739130434782609,0.369,0.5043478260869565,0.756,0.38115942028985506,0.279,0.214,0.17681159420289855,0.47681159420289854,1.682608695652174,0.096,0.17101449275362318,0.355,0.4855072463768116,0.316,0.1536231884057971,0.8826086956521739,0.476,0.42028985507246375,0.48200000000000004,0.7971014492753623,0.523,0.17800000000000002,0.3492753623188406,70.9,0.463768115942029,1.9,-1.18,0.085,0.15072463768115943,-5.85,0.39,0.5521739130434783,0.37,0.20434782608695654,0.863768115942029,0.537,0.463768115942029,0.518,0.855072463768116,0.576,0.162,0.3188405797101449,0.706,12
MONTANA,MONTANA,0.595,0.38382352941176473,6,2,0.08199999999999999,0.07647058823529412,0.6485294117647059,0.521,1.4294117647058824,0.452,0.6455882352941177,0.303,0.4338235294117647,0.817,0.35441176470588237,0.248,0,9,6,107.3,0.19399999999999998,0.16029411764705884,0.424,0.23529411764705882,0.09300000000000001,0.08235294117647059,0.6647058823529411,0.474,1.3294117647058823,0.417,0.5544117647058824,0.344,0.4573529411764706,0.698,0.3191176470588235,0.24,0.23199999999999998,0.19558823529411765,0.4235294117647059,1.5794117647058823,0.057999999999999996,0.1,0.3,0.3985294117647059,0.38,0.1514705882352941,0.9308823529411765,0.433,0.40294117647058825,0.515,0.8602941176470589,0.511,0.188,0.3588235294117647,68.7,0.4426470588235294,1.8426470588235293,-4.74,0.085,0.14558823529411766,-4.88,0.384,0.5485294117647059,0.359,0.19705882352941176,0.8808823529411764,0.509,0.4485294117647059,0.485,0.8088235294117647,0.563,0.133,0.25,0.647,11
MOREHEAD-STATE,MOREHEAD-STATE,0.649,0.4109375,5,3,0.157,0.15,0.653125,0.542,1.3671875,0.463,0.6328125,0.307,0.4203125,0.643,0.2703125,0.198,0,7,5,104.8,0.322,0.2625,0.517,0.315625,0.10300000000000001,0.0796875,0.5515625,0.48,1.446875,0.422,0.6109375,0.187,0.2703125,0.688,0.1859375,0.129,0.254,0.221875,0.403125,1.575,0.12,0.2,0.341,0.49375,0.339,0.1671875,0.953125,0.466,0.44375,0.45799999999999996,0.7734375,0.5,0.172,0.328125,67.0,0.3453125,1.753125,-0.53,0.095,0.159375,-2.37,0.432,0.590625,0.368,0.2171875,0.7765625,0.535,0.415625,0.542,0.915625,0.559,0.188,0.3625,0.688,11
MORGAN-STATE,MORGAN-STATE,0.534,0.379047619047619,6,1,0.096,0.0838095238095238,0.6533333333333333,0.504,1.582857142857143,0.449,0.7104761904761905,0.308,0.4876190476190476,0.66,0.3219047619047619,0.203,0,4,7,98.2,0.244,0.22857142857142856,0.552,0.34285714285714286,0.079,0.08190476190476191,0.7085714285714285,0.506,1.4419047619047618,0.431,0.6209523809523809,0.346,0.4990476190476191,0.691,0.34476190476190477,0.239,0.27899999999999997,0.25333333333333335,0.41523809523809524,1.8038095238095238,0.09300000000000001,0.18095238095238095,0.395,0.5695238095238095,0.381,0.21714285714285714,0.8723809523809524,0.463,0.4038095238095238,0.522,0.9619047619047619,0.537,0.23600000000000002,0.518095238095238,78.0,0.4552380952380952,1.9161904761904762,-18.96,0.131,0.25523809523809526,-5.18,0.345,0.5466666666666666,0.317,0.17333333333333334,1.036190476190476,0.518,0.5371428571428571,0.478,0.8819047619047619,0.528,0.16899999999999998,0.36952380952380953,0.462,6
MOUNT-ST-MARYS,MOUNT-ST-MARYS,0.54,0.3175438596491228,7,2,0.105,0.10701754385964912,0.6070175438596491,0.489,1.3508771929824561,0.435,0.5877192982456141,0.312,0.42105263157894735,0.721,0.30350877192982456,0.225,2,3,9,96.0,0.265,0.21929824561403508,0.503,0.34035087719298246,0.07,0.06491228070175438,0.6087719298245614,0.513,1.4736842105263157,0.46,0.6771929824561403,0.227,0.3350877192982456,0.775,0.2596491228070175,0.176,0.273,0.22807017543859648,0.4298245614035088,1.7701754385964912,0.12300000000000001,0.20877192982456141,0.311,0.45789473684210524,0.341,0.156140350877193,1.0157894736842106,0.513,0.5210526315789473,0.503,0.8368421052631579,0.542,0.151,0.2894736842105263,67.7,0.35964912280701755,1.6245614035087719,-12.25,0.08199999999999999,0.13859649122807016,-1.64,0.31,0.4192982456140351,0.347,0.1456140350877193,0.9315789473684211,0.475,0.4421052631578947,0.49700000000000005,0.8263157894736842,0.524,0.18899999999999997,0.36140350877192984,0.357,5
MURRAY-STATE,MURRAY-STATE,0.5,0.3892857142857143,1,3,0.08800000000000001,0.075,0.6839285714285714,0.568,1.5625,0.498,0.7785714285714286,0.322,0.5035714285714286,0.674,0.3392857142857143,0.217,0,7,2,117.2,0.34600000000000003,0.2982142857142857,0.43,0.25892857142857145,0.09300000000000001,0.09285714285714286,0.5642857142857143,0.48,1.4607142857142856,0.412,0.6017857142857143,0.263,0.38392857142857145,0.702,0.26964285714285713,0.185,0.253,0.23214285714285715,0.42142857142857143,1.6732142857142858,0.08199999999999999,0.14821428571428572,0.414,0.6053571428571428,0.33,0.2,0.8553571428571428,0.47,0.4017857142857143,0.44799999999999995,0.7964285714285714,0.509,0.18600000000000003,0.375,72.1,0.37142857142857144,2.1142857142857143,11.06,0.113,0.20357142857142857,1.24,0.363,0.5678571428571428,0.384,0.21785714285714286,0.9946428571428572,0.564,0.5607142857142857,0.552,0.9821428571428571,0.587,0.149,0.31607142857142856,0.857,12
NAVY,NAVY,0.489,0.31,2,6,0.08800000000000001,0.07166666666666667,0.6483333333333333,0.518,1.375,0.461,0.6333333333333333,0.291,0.4,0.675,0.27,0.196,2,4,4,103.9,0.326,0.26666666666666666,0.5770000000000001,0.305,0.086,0.07833333333333334,0.5516666666666666,0.463,1.3033333333333332,0.405,0.5283333333333333,0.311,0.405,0.663,0.2683333333333333,0.206,0.239,0.20333333333333334,0.4266666666666667,1.475,0.106,0.17333333333333334,0.379,0.49333333333333335,0.304,0.15,0.81,0.467,0.37833333333333335,0.452,0.755,0.493,0.18899999999999997,0.34833333333333333,65.3,0.4066666666666667,1.695,2.85,0.11699999999999999,0.19166666666666668,-3.08,0.338,0.465,0.341,0.15833333333333333,0.91,0.522,0.475,0.5479999999999999,0.915,0.542,0.172,0.325,0.733,11
NEBRASKA-OMAHA,NEBRASKA-OMAHA,0.495,0.2911764705882353,8,0,0.073,0.06911764705882353,0.6308823529411764,0.471,1.4411764705882353,0.408,0.5882352941176471,0.291,0.41911764705882354,0.733,0.3073529411764706,0.213,6,3,14,92.3,0.221,0.20294117647058824,0.483,0.33676470588235297,0.084,0.075,0.7161764705882353,0.526,1.526470588235294,0.457,0.6970588235294117,0.353,0.538235294117647,0.757,0.4073529411764706,0.267,0.287,0.25441176470588234,0.42058823529411765,2.011764705882353,0.095,0.17205882352941176,0.381,0.5808823529411765,0.362,0.21029411764705883,0.9455882352941176,0.515,0.48676470588235293,0.5379999999999999,0.9705882352941176,0.564,0.13699999999999998,0.2838235294117647,72.2,0.4647058823529412,1.6647058823529413,-15.56,0.068,0.12352941176470589,-0.18,0.383,0.5514705882352942,0.328,0.18088235294117647,0.8897058823529411,0.458,0.4073529411764706,0.462,0.8338235294117647,0.507,0.18,0.3602941176470588,0.176,3
NEBRASKA,NEBRASKA,0.511,0.3262411347517731,4,0,0.079,0.07234042553191489,0.6397163120567376,0.49,1.475177304964539,0.433,0.6382978723404256,0.318,0.4695035460992908,0.719,0.3375886524822695,0.229,6,6,11,97.9,0.204,0.18865248226950354,0.522,0.3574468085106383,0.092,0.08226950354609928,0.7347517730496453,0.513,1.5687943262411348,0.437,0.6851063829787234,0.263,0.4127659574468085,0.684,0.2822695035460993,0.18,0.32799999999999996,0.3120567375886525,0.4482269503546099,1.8907801418439716,0.09699999999999999,0.17588652482269504,0.418,0.6553191489361702,0.364,0.23829787234042554,0.9134751773049645,0.489,0.44680851063829785,0.5579999999999999,1.0468085106382978,0.536,0.17600000000000002,0.3773049645390071,72.9,0.4156028368794326,1.7829787234042553,-0.36,0.105,0.19148936170212766,4.11,0.395,0.5829787234042553,0.29,0.16879432624113475,0.8921985815602836,0.526,0.4695035460992908,0.442,0.8283687943262411,0.525,0.152,0.30354609929078014,0.353,6
NEVADA-LAS-VEGAS,NEVADA-LAS-VEGAS,0.61,0.38333333333333336,2,0,0.091,0.07666666666666666,0.6766666666666666,0.483,1.5,0.419,0.6283333333333333,0.302,0.4533333333333333,0.735,0.3333333333333333,0.222,2,9,6,103.1,0.267,0.25,0.547,0.32,0.092,0.08166666666666667,0.6866666666666666,0.467,1.4583333333333333,0.401,0.585,0.273,0.3983333333333333,0.695,0.27666666666666667,0.19,0.266,0.245,0.445,1.64,0.075,0.13,0.419,0.6116666666666667,0.316,0.19333333333333333,0.8466666666666667,0.463,0.39166666666666666,0.501,0.9316666666666666,0.498,0.162,0.31833333333333336,69.2,0.42833333333333334,1.7833333333333334,5.43,0.096,0.16666666666666666,3.28,0.411,0.6166666666666667,0.314,0.19333333333333333,0.8833333333333333,0.492,0.435,0.499,0.9266666666666666,0.52,0.138,0.275,0.6,9
