,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,home_losses,home_wins,losses,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
SOUTHERN-ILLINOIS-EDWARDSVILLE,SOUTHERN-ILLINOIS-EDWARDSVILLE,0.51,0.3267857142857143,5,2,0.113,0.09464285714285714,0.6785714285714286,0.482,1.4767857142857144,0.434,0.6410714285714286,0.31,0.45714285714285713,0.66,0.30178571428571427,0.204,1,4,8,96.9,0.311,0.28035714285714286,0.5589999999999999,0.3142857142857143,0.11599999999999999,0.1125,0.6214285714285714,0.461,1.4107142857142858,0.399,0.5625,0.359,0.5071428571428571,0.715,0.3625,0.257,0.252,0.22857142857142856,0.4357142857142857,1.6625,0.092,0.16428571428571428,0.406,0.5732142857142857,0.305,0.175,0.8375,0.463,0.3875,0.47,0.85,0.503,0.179,0.3607142857142857,71.3,0.4660714285714286,1.7267857142857144,-6.26,0.08900000000000001,0.15892857142857142,-1.51,0.345,0.5089285714285714,0.281,0.14285714285714285,0.9678571428571429,0.515,0.4982142857142857,0.53,0.9589285714285715,0.51,0.17800000000000002,0.36607142857142855,0.429,6
SOUTHERN-ILLINOIS,SOUTHERN-ILLINOIS,0.5539999999999999,0.3233333333333333,4,2,0.07,0.06166666666666667,0.5983333333333334,0.535,1.2783333333333333,0.456,0.5833333333333334,0.313,0.4,0.683,0.2733333333333333,0.214,0,6,6,104.2,0.24,0.18166666666666667,0.455,0.26166666666666666,0.12300000000000001,0.08666666666666667,0.5766666666666667,0.49,1.3016666666666667,0.442,0.575,0.255,0.33166666666666667,0.734,0.24333333333333335,0.187,0.225,0.17333333333333334,0.37833333333333335,1.52,0.094,0.14833333333333334,0.319,0.415,0.305,0.12666666666666668,0.8866666666666667,0.506,0.4483333333333333,0.49,0.75,0.521,0.163,0.2833333333333333,63.0,0.36666666666666664,1.6416666666666666,0.21,0.08800000000000001,0.13833333333333334,-3.57,0.449,0.5733333333333334,0.352,0.20166666666666666,0.705,0.541,0.38166666666666665,0.51,0.78,0.559,0.16699999999999998,0.29333333333333333,0.6,9
SOUTHERN-METHODIST,SOUTHERN-METHODIST,0.535,0.35348837209302325,2,2,0.106,0.10697674418604651,0.7085271317829457,0.534,1.448062015503876,0.456,0.6604651162790698,0.342,0.4945736434108527,0.74,0.36589147286821705,0.253,0,10,4,109.2,0.298,0.25426356589147286,0.505,0.31937984496124033,0.115,0.09612403100775194,0.6,0.456,1.5782945736434109,0.401,0.6325581395348837,0.226,0.35658914728682173,0.722,0.25736434108527134,0.163,0.28,0.27596899224806204,0.44031007751937984,1.6961240310077519,0.091,0.15968992248062017,0.36,0.5674418604651162,0.306,0.17364341085271318,1.0108527131782945,0.454,0.45891472868217054,0.47600000000000003,0.875968992248062,0.485,0.14400000000000002,0.29457364341085274,70.0,0.3689922480620155,1.9116279069767441,8.61,0.091,0.15968992248062017,-0.08,0.421,0.6093023255813953,0.369,0.2248062015503876,0.8387596899224806,0.519,0.4356589147286822,0.524,0.9627906976744186,0.568,0.154,0.3054263565891473,0.75,12
SOUTHERN-MISSISSIPPI,SOUTHERN-MISSISSIPPI,0.523,0.3053571428571429,7,1,0.091,0.07857142857142857,0.6857142857142857,0.475,1.3696428571428572,0.426,0.5839285714285715,0.271,0.37142857142857144,0.654,0.24285714285714285,0.177,2,2,9,89.2,0.22399999999999998,0.19107142857142856,0.556,0.35535714285714287,0.08800000000000001,0.08392857142857142,0.6607142857142857,0.501,1.5035714285714286,0.425,0.6392857142857142,0.264,0.3964285714285714,0.707,0.28035714285714286,0.186,0.26899999999999996,0.2517857142857143,0.3767857142857143,1.7875,0.111,0.19285714285714287,0.423,0.6357142857142857,0.36,0.22857142857142856,0.8678571428571429,0.473,0.4107142857142857,0.51,0.9125,0.528,0.147,0.2910714285714286,69.2,0.39107142857142857,1.542857142857143,-14.72,0.073,0.12678571428571428,-3.11,0.301,0.4125,0.32,0.13214285714285715,0.9571428571428572,0.472,0.4517857142857143,0.49,0.8767857142857143,0.499,0.19399999999999998,0.3732142857142857,0.357,5
SOUTHERN-UTAH,SOUTHERN-UTAH,0.434,0.29391304347826086,4,2,0.081,0.07478260869565218,0.7408695652173913,0.506,1.5426086956521738,0.439,0.6765217391304348,0.328,0.5060869565217392,0.691,0.34956521739130436,0.227,1,5,5,103.4,0.284,0.271304347826087,0.47100000000000003,0.3008695652173913,0.095,0.08347826086956522,0.6834782608695652,0.477,1.5339130434782609,0.416,0.6382608695652174,0.274,0.42086956521739133,0.719,0.3026086956521739,0.197,0.21100000000000002,0.19826086956521738,0.4643478260869565,1.7669565217391305,0.08800000000000001,0.1617391304347826,0.398,0.6104347826086957,0.308,0.18782608695652173,0.9234782608695652,0.488,0.4504347826086956,0.466,0.8817391304347826,0.51,0.153,0.3130434782608696,73.9,0.4226086956521739,1.9095652173913042,-1.25,0.078,0.1443478260869565,-1.33,0.433,0.6678260869565218,0.31,0.20695652173913043,0.8747826086956522,0.537,0.46956521739130436,0.534,1.0121739130434784,0.535,0.158,0.3339130434782609,0.643,9
SOUTHERN,SOUTHERN,0.501,0.3265625,7,5,0.08199999999999999,0.06875,0.5375,0.497,1.484375,0.439,0.6515625,0.307,0.45625,0.695,0.3171875,0.214,0,4,7,97.5,0.237,0.2109375,0.5,0.303125,0.109,0.1109375,0.6796875,0.517,1.3046875,0.465,0.60625,0.429,0.559375,0.712,0.3984375,0.305,0.302,0.2328125,0.4578125,1.746875,0.086,0.1578125,0.359,0.46875,0.29,0.1359375,0.8359375,0.563,0.4703125,0.5489999999999999,0.9125,0.556,0.24,0.496875,73.6,0.5078125,1.79375,-4.89,0.152,0.2796875,-1.74,0.313,0.4640625,0.374,0.1734375,1.0203125,0.469,0.478125,0.451,0.7484375,0.527,0.17300000000000001,0.3546875,0.563,9
ST-BONAVENTURE,ST-BONAVENTURE,0.517,0.33814432989690724,0,1,0.171,0.1360824742268041,0.6783505154639176,0.504,1.4597938144329896,0.448,0.6536082474226804,0.282,0.41237113402061853,0.77,0.31752577319587627,0.218,1,5,3,104.6,0.264,0.2268041237113402,0.564,0.3463917525773196,0.076,0.07422680412371134,0.6329896907216495,0.494,1.4845360824742269,0.414,0.6144329896907217,0.225,0.334020618556701,0.735,0.24536082474226803,0.165,0.23800000000000002,0.21237113402061855,0.3835051546391753,1.711340206185567,0.084,0.14432989690721648,0.464,0.688659793814433,0.344,0.23711340206185566,0.7958762886597938,0.474,0.37731958762886597,0.483,0.845360824742268,0.521,0.147,0.2824742268041237,68.4,0.35670103092783506,1.7876288659793815,5.71,0.077,0.13195876288659794,2.63,0.329,0.48041237113402063,0.339,0.16288659793814433,0.979381443298969,0.501,0.49072164948453606,0.517,0.9051546391752577,0.54,0.14300000000000002,0.27628865979381445,0.75,9
ST-FRANCIS-NY,ST-FRANCIS-NY,0.496,0.3016666666666667,5,2,0.073,0.06833333333333333,0.6266666666666667,0.462,1.5033333333333334,0.405,0.6083333333333333,0.261,0.39166666666666666,0.689,0.27,0.18,4,2,11,94.9,0.299,0.2833333333333333,0.467,0.2966666666666667,0.105,0.09833333333333333,0.665,0.518,1.365,0.465,0.635,0.344,0.47,0.67,0.315,0.231,0.239,0.19666666666666666,0.3616666666666667,1.7283333333333333,0.095,0.16666666666666666,0.311,0.425,0.337,0.14333333333333334,0.94,0.523,0.49166666666666664,0.486,0.8616666666666667,0.544,0.183,0.3566666666666667,70.0,0.43833333333333335,1.66,-14.0,0.102,0.17833333333333334,-6.65,0.377,0.5666666666666667,0.306,0.17333333333333334,0.9366666666666666,0.464,0.435,0.514,0.91,0.491,0.16899999999999998,0.3433333333333333,0.267,4
ST-JOHNS-NY,ST-JOHNS-NY,0.611,0.45964912280701753,3,0,0.165,0.15263157894736842,0.643859649122807,0.527,1.6122807017543859,0.467,0.7526315789473684,0.293,0.47192982456140353,0.669,0.3157894736842105,0.196,2,9,5,107.0,0.314,0.2929824561403509,0.508,0.32456140350877194,0.09699999999999999,0.10350877192982456,0.6403508771929824,0.492,1.5070175438596491,0.424,0.6385964912280702,0.324,0.48771929824561405,0.709,0.3456140350877193,0.229,0.31,0.2894736842105263,0.44035087719298244,1.8280701754385964,0.091,0.17192982456140352,0.388,0.5842105263157895,0.351,0.20526315789473684,0.9228070175438596,0.47,0.43333333333333335,0.498,0.9298245614035088,0.526,0.2,0.43333333333333335,75.4,0.45087719298245615,2.0157894736842104,7.88,0.127,0.23859649122807017,0.24,0.336,0.5421052631578948,0.359,0.19473684210526315,1.0701754385964912,0.521,0.5578947368421052,0.502,0.9368421052631579,0.549,0.157,0.34210526315789475,0.643,9
ST-THOMAS-MN,ST-THOMAS-MN,0.525,0.3703125,6,2,0.051,0.040625,0.640625,0.564,1.55,0.455,0.7046875,0.196,0.303125,0.727,0.2203125,0.142,2,4,8,115.0,0.184,0.159375,0.45799999999999996,0.296875,0.113,0.078125,0.7078125,0.532,1.4078125,0.461,0.6484375,0.274,0.3859375,0.668,0.2578125,0.183,0.222,0.1828125,0.353125,1.7546875,0.057,0.096875,0.434,0.6109375,0.327,0.2,0.796875,0.563,0.4484375,0.527,0.890625,0.551,0.153,0.2875,68.4,0.3984375,1.9671875,-4.27,0.079,0.1359375,-4.65,0.555,0.8609375,0.392,0.3375,0.6890625,0.533,0.3671875,0.473,0.8,0.581,0.10099999999999999,0.190625,0.5,8
STANFORD,STANFORD,0.5589999999999999,0.3504761904761905,3,0,0.08,0.06476190476190476,0.6419047619047619,0.516,1.3904761904761904,0.451,0.6266666666666667,0.352,0.4895238095238095,0.654,0.32,0.23,0,7,4,102.6,0.345,0.2895238095238095,0.455,0.2819047619047619,0.091,0.08,0.5504761904761905,0.516,1.3866666666666667,0.446,0.6190476190476191,0.319,0.4419047619047619,0.668,0.29523809523809524,0.213,0.209,0.16952380952380952,0.44761904761904764,1.7257142857142858,0.109,0.18666666666666668,0.418,0.579047619047619,0.332,0.19238095238095237,0.8076190476190476,0.528,0.4266666666666667,0.436,0.72,0.54,0.152,0.2857142857142857,68.4,0.4533333333333333,1.7542857142857142,7.56,0.084,0.14285714285714285,6.41,0.367,0.5104761904761905,0.354,0.18095238095238095,0.88,0.506,0.44571428571428573,0.564,0.9314285714285714,0.54,0.187,0.37333333333333335,0.692,9
STEPHEN-F-AUSTIN,STEPHEN-F-AUSTIN,0.545,0.3867768595041322,2,2,0.135,0.12231404958677686,0.6016528925619835,0.544,1.456198347107438,0.487,0.7090909090909091,0.33,0.4809917355371901,0.66,0.31735537190082647,0.218,2,6,5,102.9,0.33799999999999997,0.2743801652892562,0.517,0.31900826446280994,0.079,0.07933884297520662,0.5371900826446281,0.496,1.4049586776859504,0.439,0.6165289256198347,0.366,0.5140495867768595,0.733,0.3768595041322314,0.268,0.293,0.24958677685950414,0.4743801652892562,1.7702479338842976,0.102,0.1884297520661157,0.354,0.4975206611570248,0.322,0.16033057851239668,0.9074380165289256,0.503,0.456198347107438,0.473,0.7867768595041322,0.537,0.212,0.44297520661157025,73.9,0.4826446280991736,1.9008264462809918,1.77,0.121,0.2231404958677686,2.04,0.309,0.44958677685950416,0.368,0.1652892561983471,1.006611570247934,0.54,0.543801652892562,0.527,0.8760330578512396,0.564,0.20800000000000002,0.44297520661157025,0.667,10
STETSON,STETSON,0.584,0.37209302325581395,6,2,0.07,0.06046511627906977,0.6387596899224807,0.504,1.468217054263566,0.434,0.6372093023255814,0.208,0.3054263565891473,0.665,0.20310077519379846,0.138,3,5,9,100.3,0.281,0.24806201550387597,0.574,0.3612403100775194,0.061,0.05271317829457364,0.6341085271317829,0.507,1.4310077519379845,0.44,0.6294573643410852,0.218,0.3116279069767442,0.662,0.2062015503875969,0.144,0.244,0.2062015503875969,0.324031007751938,1.655813953488372,0.09,0.15193798449612403,0.393,0.5627906976744186,0.339,0.19069767441860466,0.8682170542635659,0.505,0.4387596899224806,0.48700000000000004,0.8403100775193798,0.524,0.161,0.30387596899224806,67.2,0.3488372093023256,1.6837209302325582,-8.7,0.111,0.18604651162790697,-1.12,0.415,0.6093023255813953,0.338,0.2062015503875969,0.8589147286821706,0.502,0.4310077519379845,0.513,0.8868217054263566,0.522,0.16399999999999998,0.31627906976744186,0.438,7
STONY-BROOK,STONY-BROOK,0.43700000000000006,0.29421487603305785,5,1,0.073,0.06776859504132231,0.6132231404958678,0.513,1.5239669421487603,0.441,0.6727272727272727,0.216,0.32892561983471075,0.714,0.23471074380165288,0.154,1,8,6,103.3,0.243,0.21818181818181817,0.51,0.3685950413223141,0.091,0.08099173553719008,0.6809917355371901,0.536,1.5355371900826447,0.47,0.7223140495867768,0.197,0.30247933884297523,0.667,0.20165289256198346,0.131,0.295,0.256198347107438,0.3785123966942149,1.8462809917355372,0.091,0.15867768595041323,0.393,0.6033057851239669,0.332,0.2,0.9322314049586777,0.56,0.5223140495867769,0.53,0.9371900826446281,0.55,0.162,0.3239669421487603,69.6,0.3322314049586777,1.7983471074380166,-6.58,0.113,0.19669421487603306,-2.37,0.418,0.6363636363636364,0.343,0.21818181818181817,0.8876033057851239,0.512,0.45454545454545453,0.47,0.8314049586776859,0.535,0.139,0.27107438016528923,0.6,9
SYRACUSE,SYRACUSE,0.5539999999999999,0.3755725190839695,3,1,0.139,0.10381679389312977,0.6381679389312978,0.527,1.4931297709923663,0.454,0.6778625954198473,0.318,0.47480916030534354,0.72,0.3419847328244275,0.229,2,6,8,109.3,0.29,0.26106870229007634,0.691,0.44732824427480916,0.09,0.08244274809160305,0.6396946564885496,0.508,1.534351145038168,0.422,0.6473282442748092,0.254,0.3893129770992366,0.737,0.2870229007633588,0.187,0.306,0.28091603053435116,0.38625954198473283,1.8458015267175572,0.098,0.17251908396946564,0.514,0.7893129770992366,0.335,0.2641221374045801,0.7450381679389313,0.514,0.383206106870229,0.506,0.9206106870229007,0.537,0.157,0.3190839694656489,70.1,0.35725190839694654,1.916030534351145,8.71,0.114,0.2,5.83,0.389,0.5801526717557252,0.376,0.2183206106870229,0.9129770992366413,0.503,0.4595419847328244,0.494,0.899236641221374,0.557,0.145,0.2916030534351145,0.5,8
TARLETON-STATE,TARLETON-STATE,0.494,0.28905109489051095,8,1,0.081,0.061313868613138686,0.583941605839416,0.466,1.3824817518248176,0.423,0.5854014598540146,0.305,0.4218978102189781,0.754,0.3182481751824818,0.23,1,7,9,94.6,0.22899999999999998,0.1927007299270073,0.5920000000000001,0.3284671532846715,0.138,0.13576642335766423,0.6496350364963503,0.503,1.2656934306569343,0.438,0.5547445255474452,0.354,0.4481751824817518,0.694,0.310948905109489,0.246,0.261,0.20583941605839415,0.4291970802919708,1.5854014598540147,0.071,0.12116788321167883,0.405,0.5124087591240876,0.322,0.16496350364963502,0.7532846715328467,0.517,0.3897810218978102,0.524,0.8554744525547445,0.536,0.223,0.4233576642335766,67.9,0.46715328467153283,1.6058394160583942,0.43,0.126,0.21313868613138687,3.14,0.286,0.3956204379562044,0.295,0.11678832116788321,0.9868613138686131,0.475,0.4686131386861314,0.47600000000000003,0.7766423357664234,0.507,0.16399999999999998,0.3094890510948905,0.471,8
