,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,win_shares_per_40_minutes,height
keyshaun-langley-1,21.4,165,0.6,6,1.5,,1.4,8.1,95,2.5,0.502,417,0.388,162,0.278,116,0.81,94,64,28,1377,0.1,1.1,15,2.6,136,15.6,513,520,2.9,70,north-carolina-greensboro,0.664,277,0.343,95,4.4,110,0.543,16.9,96,140,0.479,67,20,5.1,0.148,73
dereon-seabron-1,12.1,37,1.2,7,4.7,,1.6,18,96,0.9,0.551,176,0.534,94,0.381,67,0.642,43,30,14,616,3.1,8.5,45,1.4,33,20.7,237,242,3,32,north-carolina-state,0.165,29,0.207,6,13.3,141,0.57,16.5,41,147,0.599,88,20.4,2.3,0.148,79
jericole-hellems-1,8.4,103,1.2,26,1.3,,0.3,11.9,231,2.6,0.48,766,0.415,318,0.264,202,0.792,160,98,47,2244,0.9,5.8,115,3.5,251,14.4,896,859,1.7,65,north-carolina-state,0.366,280,0.357,100,8.8,346,0.52,14,140,486,0.449,218,22.1,6,0.107,79
casey-morsell-1,7.4,41,1.3,12,-1.2,,2.1,8.7,87,2,0.39,326,0.337,110,0.163,53,0.717,38,59,22,1175,-3.2,2.3,22,-0.5,84,7.1,292,279,1.7,31,north-carolina-state,0.448,146,0.233,34,5.7,109,0.416,11.4,45,180,0.422,76,19.3,1.5,0.053,75
cam-hayes-1,23.4,89,0.3,2,2.4,,1,10.4,61,0.8,0.465,216,0.389,84,0.296,64,0.766,49,29,20,695,1.4,1.2,7,1.1,43,15.5,250,265,2.9,35,north-carolina-state,0.454,98,0.337,33,5.8,68,0.507,16.6,49,118,0.432,51,21.6,1.8,0.105,75
terquavion-smith-1,20.4,14,1.5,2,-0.6,,-1.3,11.8,15,0.1,0.474,58,0.379,22,0.138,8,0.5,4,6,0,137,0.7,0.8,1,0.2,10,15.2,59,57,2.1,5,north-carolina-state,0.552,32,0.344,11,6.3,16,0.477,11.5,8,26,0.423,11,25.1,0.3,0.097,76
ebenezer-dowuona-1,0,0,7.3,13,-2.3,,0.8,14.5,24,0.3,0.455,22,0.455,10,0.545,12,0.583,7,15,5,184,-3.1,6.6,11,0.2,25,10.6,27,29,1.6,5,north-carolina-state,0,0,,0,10.5,35,0.487,9.8,3,22,0.455,10,8.3,0.4,0.088,83
jaylon-gibson-1,1,1,3.6,6,-4.2,,-1.6,11.9,18,0.1,0.48,25,0.48,12,0.84,21,0.429,9,23,0,173,-2.7,11.7,18,0.1,17,9.2,33,39,0.7,2,north-carolina-state,0.04,1,0,0,11.8,36,0.472,20.5,9,24,0.5,12,12.8,0.2,0.052,81
breon-pass-1,13.3,3,0,0,-8.3,,-0.5,10.8,4,0,0.45,10,0.4,4,0.4,4,1,4,5,0,40,-7.8,0,0,0,7,8.1,13,13,2.9,2,north-carolina-state,0.5,5,0.2,1,5.4,4,0.546,29.6,5,5,0.6,3,20.8,0,0.039,72
thomas-allen-1,11.8,108,0.6,9,3.1,,2,8.9,135,2,0.5,434,0.408,177,0.161,70,0.8,56,82,40,1702,1.1,1.5,23,1.8,63,12.6,490,467,2.4,70,north-carolina-state,0.507,220,0.364,80,5.2,158,0.524,13.4,72,214,0.453,97,16.2,3.8,0.09,73
manny-bates-1,3.8,24,13.1,147,6.6,,4.2,15.3,157,2,,255,0.647,165,0.345,88,0.602,53,54,50,1192,2.4,9.9,101,3,137,22.4,383,371,1.2,25,north-carolina-state,0,0,,0,12.6,258,,13.7,47,255,0.647,165,14.6,5,0.167,83
chase-graham-1,0,0,0,0,-1,,0.1,3.5,1,0,0.5,14,0.357,5,0.214,3,0.667,2,20,0,31,-1.1,0,0,0,2,14.1,16,12,3.7,2,north-carolina-state,0.786,11,0.364,4,1.8,1,0.519,11.5,2,3,0.333,1,28.2,0.1,0.075,73
alex-nunnally-1,0,0,0,0,-8.3,,-2.8,0,0,0,,0,,0,,0,,0,1,0,1,-5.5,0,0,0,0,0,0,0,0,0,north-carolina-state,,0,,0,0,0,,,0,0,,0,0,0,-0.001,74
ernest-ross-1,0,0,5.1,1,-19.8,,-5.5,16.2,3,0,0,6,0,0,0,0,,0,5,0,20,-14.2,26.8,5,-0.1,4,-6.8,0,3,2.9,1,north-carolina-state,0.333,2,0,0,21.5,8,0,33.3,3,4,0,0,22.1,-0.1,-0.184,81
greg-gantt-2,10.6,52,1.8,15,1.9,,3.1,12.3,96,1.3,0.467,152,0.421,64,0.296,45,0.689,31,53,12,895,-1.2,5.6,47,0.5,103,10.1,173,192,2.3,35,providence,0.362,55,0.255,14,8.9,143,0.499,21,46,97,0.515,50,12.3,1.8,0.079,80
jaylen-sims-1,9,99,0.7,13,-1.4,,-1.6,15.8,294,1.6,0.488,644,0.391,252,0.458,295,0.719,212,82,40,2173,0.1,4,79,3.8,154,15.1,840,795,1.2,47,north-carolina-wilmington,0.539,347,0.357,124,9.8,373,0.536,11.6,103,297,0.431,128,20.5,5.4,0.099,78
mike-okauru-1,18.6,203,1,21,-0.1,,1.2,16,306,3.2,0.462,691,0.401,277,0.272,188,0.745,140,124,54,2226,-1.3,2,40,2.2,199,14.7,778,787,2.8,108,north-carolina-wilmington,0.37,256,0.328,84,8.9,346,0.499,15.1,139,435,0.444,193,21,5.4,0.097,75
trazarien-white-1,7.9,5,1.4,2,0.3,,-0.9,11.3,14,0.3,0.43,43,0.395,17,0.581,25,0.72,18,6,3,142,1.2,10.5,16,0.2,11,18.8,55,56,3.8,9,north-carolina-wilmington,0.372,16,0.188,3,10.9,30,0.501,14.1,9,27,0.519,14,22.4,0.5,0.137,78
shykeim-phillips-1,19.6,88,1.3,12,-2.7,,0.5,10,86,1.3,0.463,311,0.45,140,0.312,97,0.701,68,38,30,979,-3.2,3.3,29,0.9,91,15.5,356,362,3.2,55,north-carolina-wilmington,0.074,23,0.348,8,6.6,115,0.498,16,68,288,0.458,132,22.2,2.1,0.088,72
jaylen-fornes-1,10.4,134,0.6,13,-2.1,,-2.1,10.3,210,1.2,0.499,763,0.408,311,0.304,232,0.724,168,119,64,2309,0,5.1,112,3.5,205,13.7,929,884,1.3,56,north-carolina-wilmington,0.499,381,0.365,139,7.6,322,0.532,13.9,141,382,0.45,172,20.8,4.7,0.081,75
james-baker-1,5.3,78,5.1,135,-2.7,,-0.5,12.6,322,3.3,0.502,739,0.453,335,0.307,227,0.621,141,126,87,2878,-2.2,7,177,2.6,293,12.6,883,849,0.6,32,north-carolina-wilmington,0.319,236,0.305,72,9.7,499,0.521,15.9,160,503,0.523,263,17.6,5.9,0.082,78
jamahri-harvey-1,11.8,31,0.2,1,-5.9,,-2.2,8.8,36,0.4,0.449,147,0.361,53,0.136,20,0.7,14,21,14,495,-3.7,1.6,7,0.2,52,8.6,146,142,1.7,15,north-carolina-wilmington,0.483,71,0.366,26,5,43,0.466,13.3,24,76,0.355,27,18.1,0.6,0.048,77
amari-kelly-1,4.8,12,6.6,31,-8.2,,0.2,10.5,46,0.7,0.466,116,0.457,53,0.095,11,0.273,3,49,0,492,-8.4,11,52,-0.4,102,7.6,111,120,1.3,11,north-carolina-wilmington,0.095,11,0.182,2,10.8,98,0.458,27.5,46,105,0.486,51,16.7,0.3,0.025,81
alec-oglesby-1,4.9,13,0.5,2,-3.5,,-0.3,7.1,30,0.4,0.491,116,0.362,42,0.207,24,0.792,19,32,4,486,-3.2,1.2,5,0.4,53,8.6,133,116,2,16,north-carolina-wilmington,0.69,80,0.375,30,4.2,35,0.522,12.4,18,36,0.333,12,15.3,0.8,0.065,77
jamarii-thomas-1,33.3,5,3.4,1,-7.4,,-0.5,11.5,3,0,0.222,9,0.222,2,0.333,3,0.667,2,5,0,30,-6.9,3.1,1,-0.1,1,6,6,8,2,1,north-carolina-wilmington,0.333,3,0,0,6.9,4,0.288,22.3,3,6,0.333,2,22.3,0,-0.035,72
khamari-mcgriff-1,0,0,0,0,-4.1,,-1.9,16.4,1,0,0.5,2,0.5,1,0,0,,0,1,0,7,-2.2,0,0,0,0,10.6,2,1,0,0,north-carolina-wilmington,0,0,,0,7.3,1,0.5,0,0,2,0.5,1,14.2,0,0.081,80
khadim-samb-1,5.6,10,0.7,2,-8.6,,-2.9,13.4,41,0.1,0.508,60,0.45,27,0.533,32,0.688,22,23,0,341,-5.6,3.5,10,0,44,7.5,83,81,1.2,7,north-carolina-wilmington,0.233,14,0.5,7,8.6,51,0.552,24.2,24,46,0.435,20,15.3,0.1,0.016,78
logan-morrissey-1,0,0,0,0,-9.4,,-4.3,0,0,0,,0,,0,,0,,0,2,0,6,-5.1,0,0,0,0,0,0,0,0,0,air-force,,0,,0,0,0,,,0,0,,0,0,0,-0.036,76
armando-bacot-1,8.7,68,5,73,6.6,,2.1,23.5,346,2.6,0.558,518,0.558,289,0.542,281,0.648,182,67,66,1595,4.4,13,197,4.7,163,24.9,760,726,1.3,37,north-carolina,0.004,2,0,0,18.2,543,0.583,13.9,105,516,0.56,289,22.2,7.3,0.184,82
caleb-love-1,22.8,129,1.3,12,0.3,,1.1,9.1,86,1.2,0.388,394,0.335,132,0.287,113,0.796,90,35,32,1003,-0.8,1.1,11,0.4,71,10.6,396,409,2.2,39,north-carolina,0.388,153,0.275,42,5.2,97,0.442,18.6,102,241,0.373,90,25.2,1.6,0.066,76
brady-manek-1,5.6,95,3.3,107,6.9,,1.4,16.6,550,4.8,0.557,1236,0.456,564,0.185,229,0.751,172,128,112,3440,5.4,5.5,169,8.3,181,19.9,1548,1389,1.1,65,north-carolina,0.533,659,0.376,248,11.3,719,0.576,8.5,125,577,0.548,316,21.3,13.1,0.152,81
rj-davis-1,17,80,0.3,2,1.9,,1.2,10,78,0.9,0.451,285,0.372,106,0.295,84,0.833,70,35,16,825,0.7,1.7,13,1.1,60,12.1,327,319,1.6,24,north-carolina,0.439,125,0.36,45,5.9,91,0.503,17.3,68,160,0.381,61,21.9,2,0.096,72
dawson-garcia-1,6,27,1.6,14,3.3,,-0.1,17,151,0.9,0.532,299,0.478,143,0.418,125,0.776,97,33,32,943,3.5,8.7,67,2.4,72,19,415,393,0.7,11,north-carolina,0.291,87,0.368,32,13.2,218,0.579,13.3,55,212,0.524,111,22.2,3.4,0.143,83
kerwin-walton-1,13.5,57,1.1,8,5.8,,1.7,7.2,50,0.7,0.598,214,0.439,94,0.117,25,0.84,21,35,21,749,4.1,1.4,10,1.7,40,14.4,277,246,1.3,18,north-carolina,0.766,164,0.415,68,4.3,60,0.613,15.7,42,50,0.52,26,16.4,2.4,0.127,77
rechon-black-1,15.1,191,2.2,42,3.7,,3.8,14.2,278,3.1,0.412,448,0.377,169,0.257,115,0.713,82,89,64,2103,-0.1,5,100,1.3,161,11.5,451,519,2.4,92,north-carolina,0.27,121,0.256,31,9.5,378,0.449,18.4,113,327,0.422,138,13.6,4.4,0.083,80
anthony-harris-10,15.1,24,0,0,3.2,,3.1,5,13,0.3,0.529,70,0.471,33,0.357,25,0.64,16,26,0,282,0,3.3,9,0.4,32,12.7,90,87,2.6,13,north-carolina,0.343,24,0.333,8,4.2,22,0.55,18,18,46,0.543,25,16.4,0.7,0.099,76
justin-mckoy-1,7.8,15,0.6,2,0.5,,1.1,20,59,0.6,0.474,76,0.447,34,0.237,18,0.722,13,38,4,358,-0.6,9.5,25,0.4,34,12.4,85,96,0.9,5,north-carolina,0.145,11,0.364,4,15.1,84,0.503,16.7,17,65,0.462,30,16.5,1,0.109,80
dmarco-dunn-1,0,0,0,0,8.3,,-0.9,0,0,0,1.5,1,1,1,0,0,,0,2,0,4,9.2,0,0,0,1,19.6,3,1,0,0,north-carolina,1,1,1,1,0,0,1.5,50,1,0,,0,24,0,-0.02,76
dontrez-styles-1,0,0,0,0,1.5,,3.6,11.2,1,0,0.5,2,0.5,1,0,0,,0,4,0,9,-2.2,13.5,1,0,1,10.5,2,2,6,1,north-carolina,0,0,,0,12.2,2,0.5,33.3,1,2,0.5,1,16,0,0.035,78
duwe-farris-1,0,0,0,0,-11.1,,-1.6,16.1,2,0,,2,0,0,1,2,0.5,1,7,0,13,-9.4,8,1,0,3,-2.2,1,1,0,0,north-carolina,0,0,,0,12.4,3,0.169,0,0,2,0,0,10.5,0,-0.006,78
puff-johnson-1,2.9,1,1.9,1,1.5,,3.4,11.2,6,0.1,0.464,14,0.429,6,0.143,2,1,2,14,0,58,-1.9,1.8,1,0.1,5,8.4,15,13,1,1,north-carolina,0.643,9,0.111,1,6.4,7,0.502,11.8,2,5,1,5,13.3,0.1,0.083,80
creighton-lebo-1,0,0,0,0,7.3,,2,9.9,1,0,0.75,4,0.75,3,0,0,,0,7,0,11,5.3,9.4,1,0,0,23.1,6,4,0,0,north-carolina,0.25,1,0,0,9.7,2,0.75,20,1,3,1,3,20.7,0,0.116,73
ryan-mcadoo-1,5.7,2,0,0,-13,,-1.6,8,4,0.1,0.077,13,0.077,1,0.615,8,0.5,4,32,0,53,-11.4,2,1,-0.2,3,-5.4,6,7,2.1,2,north-carolina,0.308,4,0,0,5.2,5,0.179,19.2,4,9,0.111,1,18.5,-0.1,-0.107,77
rocky-kreuser-1,9,123,3.4,94,1.3,,0,19.3,487,4,0.532,967,0.446,431,0.297,287,0.819,235,132,100,2958,1.4,6,145,7,305,19.3,1263,1209,1,52,north-dakota-state,0.488,472,0.352,166,12.7,632,0.572,12.7,160,495,0.535,265,22.6,11.1,0.15,82
grant-nelson-1,5.9,21,5.2,37,-1.8,,-0.5,13.7,89,1,0.507,207,0.454,94,0.261,54,0.722,39,34,12,751,-1.2,8.6,56,0.7,64,14.4,249,245,0.5,6,north-dakota-state,0.357,74,0.297,22,11.2,145,0.535,19.4,56,133,0.541,72,20,1.7,0.09,82
jarius-cook-1,7,37,0.6,6,-2.3,,-1.1,10.9,102,1,0.471,329,0.38,125,0.213,70,0.8,56,51,36,1091,-1.2,1.3,12,1.1,79,10.9,366,332,1,19,north-dakota-state,0.559,184,0.326,60,6.2,114,0.505,11,45,145,0.448,65,19.7,2.1,0.076,75
maleeck-harden-hayes-1,4.7,20,0.4,3,0,,-0.9,16,118,0.9,0.539,192,0.464,89,0.464,89,0.742,66,52,22,859,0.8,9,66,1.7,68,14.7,273,275,0.6,9,north-dakota-state,0.427,82,0.354,29,12.6,184,0.583,16.7,47,110,0.545,60,17.1,2.6,0.121,79
dezmond-mckinney-1,14.8,38,0.7,3,-6.5,,0.1,7.8,33,0.6,0.355,114,0.333,38,0.553,63,0.762,48,33,4,492,-6.5,2.2,9,-0.3,67,6.9,129,138,2.7,22,north-dakota-state,0.263,30,0.167,5,5,42,0.448,24.2,46,84,0.393,33,20.1,0.4,0.029,72
tyree-eady-1,11.5,146,0.5,12,0.1,,-0.5,13.1,283,2.5,0.555,597,0.476,284,0.204,122,0.77,94,97,64,2540,0.6,4,84,4.3,113,14.3,757,759,1.2,53,north-dakota-state,0.425,254,0.374,95,8.6,367,0.578,15.6,121,343,0.551,189,16.2,6.8,0.107,77
andrew-morgan-1,7.6,3,3.1,3,-0.3,,-1.1,29.8,25,0.2,0.614,22,0.591,13,0.182,4,0.5,2,7,0,93,0.8,10.2,9,0.3,9,22.1,29,28,1.3,2,north-dakota-state,0.136,3,0.333,1,19.8,34,0.607,7.7,2,19,0.632,12,14.3,0.4,0.19,82
willie-guy-1,21.1,13,0.8,1,-0.9,,-1.4,8,9,0.1,0.548,21,0.429,9,0.095,2,1,2,7,3,125,0.5,0.8,1,0.2,7,10.5,25,27,0.5,1,north-dakota-state,0.667,14,0.357,5,4.3,10,0.569,15.4,4,7,0.571,4,10.7,0.3,0.096,71
andrew-kallman-1,22.1,10,0,0,-10.3,,-3.8,1.2,1,0,0.389,18,0.333,6,0.278,5,1,5,6,0,91,-6.4,0,0,0.1,7,7.5,19,21,0.7,1,north-dakota-state,0.722,13,0.154,2,0.6,1,0.466,12.8,3,5,0.8,4,13.2,0.1,0.066,76
boden-skunberg-1,6.3,10,0,0,-4.8,,-0.7,11.3,29,0.3,0.367,60,0.3,18,0.117,7,0.571,4,25,1,294,-4.1,2.8,7,-0.2,22,3.4,48,50,0.8,4,north-dakota-state,0.383,23,0.348,8,7,36,0.379,15.9,12,37,0.27,10,13.3,0.1,0.013,77
sam-griesel-1,13.3,139,0.7,13,-1.5,,-0.2,16.8,294,2.4,0.457,519,0.422,219,0.387,201,0.667,134,74,63,2072,-1.3,5.6,95,2.3,132,13.4,608,664,1.4,50,north-dakota-state,0.237,123,0.293,36,11.3,389,0.495,15.9,116,396,0.462,183,18.7,4.6,0.09,78
grayson-haman-1,0,0,20.7,2,1.1,,4.6,22.8,2,0,,1,0,0,0,0,,0,7,0,10,-3.5,0,0,0,1,6.4,0,0,0,0,north-dakota-state,1,1,0,0,11.4,2,,0,0,0,,0,5.1,0,0.03,75
kolbe-rada-1,0,0,0,0,-9.1,,-3.6,0,0,0,,0,,0,,0,,0,2,0,2,-5.5,0,0,0,0,0,0,0,0,0,north-dakota-state,,0,,0,0,0,,,0,0,,0,0,0,0.011,73
caleb-nero-1,15.8,112,0.3,4,-2.6,,-1.5,9.5,120,1,0.494,454,0.43,195,0.256,116,0.81,94,67,22,1454,-1.1,1.3,16,2.1,80,14.3,543,530,1.6,42,north-dakota,0.392,178,0.331,59,5.3,136,0.533,12.4,72,276,0.493,136,20.3,3.1,0.086,74
paul-bruns-2,8.8,8,1.1,2,-0.6,,-1.4,12.9,22,0.2,0.514,73,0.425,31,0.247,18,0.778,14,8,1,209,0.8,3,6,0.5,8,19,89,79,3,11,north-dakota,0.507,37,0.351,13,7.6,28,0.546,5.8,5,36,0.5,18,20.8,0.6,0.124,76
mitchell-sueker-1,8.1,28,0.8,6,-4.4,,-2.4,15.2,94,0.3,0.452,230,0.413,95,0.413,95,0.8,76,34,20,761,-2,5.6,37,0.9,76,13.2,284,276,0.9,12,north-dakota,0.274,63,0.286,18,10.2,131,0.516,13.8,44,167,0.461,77,21.6,1.2,0.064,81
tsotne-tsartsidze-1,7.4,6,2.6,4,-7.7,,-4.8,16.7,24,0.1,0.457,47,0.447,21,0.298,14,0.786,11,8,8,176,-2.9,12,20,0.2,18,14.4,54,58,0.7,2,north-dakota,0.234,11,0.091,1,14.2,44,0.503,14.4,9,36,0.556,20,17.9,0.3,0.074,81
brendan-howard-1,5,2,0,0,-8.3,,-6.2,11,9,0,0.467,45,0.4,18,0.333,15,0.667,10,8,0,100,-2.1,7.4,7,0.1,12,12.6,52,46,0.6,1,north-dakota,0.333,15,0.4,6,9.1,16,0.499,14.7,9,30,0.4,12,30.7,0.1,0.027,78
matt-norman-2,13.8,9,0,0,-6.1,,-5.5,11.1,13,0,0.588,40,0.45,18,0.15,6,0.5,3,7,4,143,-0.6,3.7,5,0.1,9,11.4,50,46,0.4,1,north-dakota,0.75,30,0.367,11,7.1,18,0.583,20.4,11,10,0.7,7,18.9,0.2,0.043,76
bentiu-panoam-1,11.8,57,1,9,-4.7,,-1.9,10.8,84,0.6,0.518,244,0.418,102,0.377,92,0.685,63,61,29,939,-2.8,1.6,13,1.2,83,12.6,316,301,1.6,26,north-dakota,0.512,125,0.392,49,6.1,97,0.549,14.6,49,119,0.445,53,18.3,1.8,0.075,74
ethan-igbanugo-1,12.2,69,0.7,8,-4.9,,-1.9,8,74,0.4,0.49,258,0.372,96,0.279,72,0.681,49,67,19,1111,-3.1,0.8,8,0.4,76,8.5,302,293,1.3,25,north-dakota,0.659,170,0.359,61,4.4,82,0.517,18.7,67,88,0.398,35,16.6,0.8,0.029,75
brian-matthews-1,11.7,5,1.3,1,-5.3,,-3.1,14.6,10,0,0.4,15,0.4,6,0.6,9,1,9,8,0,84,-2.2,18.9,15,0.2,13,14.9,21,29,0.7,1,north-dakota,0,0,,0,16.9,25,0.545,23.7,6,15,0.4,6,15.1,0.2,0.097,81
brady-danielson-1,7.7,46,0.1,1,-4.8,,-1.1,8.8,80,0.4,0.382,169,0.302,51,0.284,48,0.583,28,66,3,1051,-3.7,4.8,43,0.3,96,5.8,157,186,1.5,27,north-dakota,0.669,113,0.239,27,6.9,123,0.409,13.1,29,56,0.429,24,10.7,0.7,0.026,76
reid-grant-1,17.5,9,2.5,2,-13.7,,-2.8,17.7,13,0.1,0.083,12,0.083,1,0,0,,0,7,0,90,-10.9,0,0,-0.4,5,-4,2,6,1.9,3,north-dakota,0.5,6,0,0,8.2,13,0.083,50,12,6,0.167,1,13.4,-0.3,-0.149,75
jackson-anderson-1,0,0,0,0,,,,0,0,0,,0,,0,,0,,0,1,0,1,,0,0,0,0,0,0,0,0,0,north-dakota,,0,,0,0,0,,,0,0,,0,0,0,-0.013,74
gavin-mcgrath-1,0,0,0,0,-7.3,,-4.1,0,0,0,,0,,0,,0,,0,1,0,27,-3.2,0,0,0,0,0,0,0,0,0,north-dakota,,0,,0,0,0,,,0,0,,0,0,0,-0.013,82
carter-hendricksen-1,11.3,140,0.7,20,-0.5,,-1.9,17.6,384,1.9,0.499,801,0.391,313,0.257,206,0.811,167,90,63,2360,1.4,4.4,91,4.6,182,15.8,966,920,1,42,north-florida,0.625,501,0.345,173,11.2,475,0.537,12.1,124,300,0.467,140,21.7,6.4,0.109,79
jose-placer-1,22,149,0.3,4,-2.8,,-2.2,8.8,116,1,0.553,488,0.471,230,0.182,89,0.798,71,64,33,1505,-0.7,1.2,15,2.5,119,14.7,611,591,1.3,34,north-florida,0.477,233,0.343,80,5.1,131,0.576,18.5,120,255,0.588,150,22.6,3.5,0.093,73
emmanuel-adedoyin-1,23.8,156,0.3,4,-5,,-2.7,6.5,72,0.3,0.572,250,0.448,112,0.304,76,0.842,64,64,29,1220,-2.3,1.6,16,1.4,107,11,350,391,1.6,34,north-florida,0.536,134,0.463,62,4.1,88,0.612,30.2,124,116,0.431,50,17.2,1.7,0.055,74
jadyn-parker-1,6.7,12,4.8,21,-4.1,,-0.5,11.9,43,0.3,0.539,114,0.535,61,0.36,41,0.537,22,29,1,395,-3.6,10.9,36,0.5,66,16.4,145,142,1.9,13,north-florida,0.035,4,0.25,1,11.5,79,0.543,16.3,26,110,0.545,60,20.8,0.8,0.085,82
dorian-james-1,10.5,68,2.4,32,-2.5,,-1.1,13,141,0.7,0.533,214,0.491,105,0.416,89,0.742,66,57,28,1196,-1.4,6.9,71,1.4,107,12.2,294,325,1.2,25,north-florida,0.266,57,0.316,18,10.1,212,0.574,23.8,80,157,0.554,87,14.3,2.2,0.073,79
jonathan-aybar-1,8.6,25,4.7,31,-5.2,,-1,16.2,90,0.5,0.5,165,0.473,78,0.424,70,0.629,44,31,23,610,-4.2,9.5,48,0.2,86,13.7,209,214,1.5,16,north-florida,0.224,37,0.243,9,13,138,0.527,23.5,61,128,0.539,69,21.9,0.8,0.05,81
chaz-lanier-1,14.7,16,0,0,-1.6,,-0.4,8,16,0.1,0.552,48,0.438,21,0.125,6,0.833,5,18,1,219,-1.3,1.6,3,0.4,9,13.2,58,57,2.6,10,north-florida,0.604,29,0.379,11,4.9,19,0.57,10.6,6,19,0.526,10,13.3,0.5,0.087,76
jarius-hicklen-1,5.4,3,2.3,3,-6.7,,-3.2,7.5,8,0,0.432,37,0.324,12,0.135,5,0.4,2,7,1,115,-3.5,2.1,2,-0.1,8,4.3,34,30,0.5,1,north-florida,0.622,23,0.348,8,4.9,10,0.432,16.9,8,14,0.286,4,21,-0.1,-0.042,75
josh-berenbaum-1,11.1,11,0.4,1,0.6,,-2,18.1,34,0.1,0.689,53,0.566,30,0.057,3,0.333,1,21,0,205,2.6,4.7,8,0.4,10,17.2,74,64,0.6,2,north-florida,0.491,26,0.5,13,11.7,42,0.68,16.8,11,27,0.63,17,16.4,0.5,0.104,80
jacob-crews-1,4.8,9,1.7,7,-6.8,,-3.7,11.3,38,0.1,0.401,136,0.294,40,0.059,8,0.875,7,29,3,371,-3.1,5.2,16,-0.2,20,7.6,116,110,1.3,8,north-florida,0.765,104,0.279,29,8.3,54,0.415,13.1,21,32,0.344,11,22.3,-0.1,-0.011,79
jordan-preaster-1,7.5,15,1.3,5,-5.6,,-1.2,13.9,53,0.8,0.456,136,0.412,56,0.346,47,0.489,23,36,0,399,-4.4,6.3,24,-0.1,36,12.2,147,141,3.5,26,north-florida,0.397,54,0.222,12,10.2,77,0.464,19.4,38,82,0.537,44,22.9,0.6,0.064,77
brandon-rasmussen-1,42.6,1,0,0,,,,0,0,0,0,2,0,0,0,0,,0,1,0,4,,0,0,0,0,-12.1,0,1,0,0,north-florida,1,2,0,0,0,0,0,0,0,0,,0,25.5,0,-0.297,76
tylor-perry-1,17.8,12,0,0,11.9,,5.8,6,7,0.4,0.629,58,0.5,29,0.379,22,0.864,19,6,0,168,6.1,1.4,2,0.9,12,28.4,92,81,3.7,10,north-texas,0.5,29,0.517,15,3.5,9,0.672,5.5,4,29,0.483,14,23.6,1.3,0.31,71
thomas-bell-1,9,79,3.6,53,3,,2,20.2,282,3.6,0.585,405,0.509,206,0.365,148,0.682,101,65,34,1729,1,7.9,102,3.2,167,17.6,575,571,1.9,54,north-texas,0.415,168,0.369,62,14.3,384,0.605,20.7,124,237,0.608,144,18.9,6.7,0.156,78
mardrez-mcbride-1,11.2,50,0.9,7,3.1,,1.3,10.5,73,1.4,0.546,219,0.411,90,0.196,43,0.721,31,34,34,871,1.9,1.9,13,1.7,48,13.9,270,253,1.6,22,north-texas,0.694,152,0.388,59,6.3,86,0.564,11.1,30,67,0.463,31,16.9,3.1,0.142,74
rubin-jones-1,15,53,0.5,3,1.6,,1.9,8.8,46,1.2,0.481,160,0.381,61,0.288,46,0.674,31,28,6,674,-0.2,3.5,18,0.4,40,10.9,185,195,2.5,27,north-texas,0.55,88,0.364,32,6.1,64,0.509,21.9,51,72,0.403,29,18.9,1.6,0.092,77
abou-ousmane-1,6,8,5.2,14,-2.7,,0.8,22.1,54,0.7,0.514,105,0.514,54,0.333,35,0.4,14,32,6,312,-3.5,13.5,33,0.5,55,18.2,122,120,1.2,6,north-texas,0,0,,0,17.9,87,0.502,12.3,17,105,0.514,54,24.3,1.2,0.151,82
aaron-scott-5,3,1,0,0,1.3,,1.3,20.9,11,0.1,0.611,18,0.556,10,0.222,4,0.75,3,6,0,76,-0.1,9.5,6,0.2,9,15.5,25,23,0.8,1,north-texas,0.222,4,0.5,2,14.7,17,0.628,16.7,4,14,0.571,8,17.2,0.3,0.161,79
jj-murray-1,7.6,32,0.2,1,0.5,,3.5,9.4,54,1.4,0.419,93,0.333,31,0.409,38,0.737,28,42,6,722,-2.9,3.8,21,0.4,48,9.2,106,121,3.5,41,north-texas,0.634,59,0.271,16,6.6,75,0.477,17.2,23,34,0.441,15,10.1,1.9,0.104,73
hameir-wright-1,9,125,5.8,136,0.9,,3.3,14.1,317,3.8,0.436,488,0.344,168,0.309,151,0.596,90,126,81,2533,-2.4,4.4,91,-0.5,345,8.6,516,558,1.8,81,north-texas,0.629,307,0.293,90,9.4,408,0.461,22.3,161,181,0.431,78,14.5,3.3,0.052,81
bryce-zephir-1,0,0,0,0,10.2,,13.8,36.1,3,0.1,0.5,5,0.4,2,0,0,,0,3,0,12,-3.6,0,0,0,0,27.3,5,4,15.7,3,north-texas,0.6,3,0.333,1,16.4,3,0.5,16.7,1,2,0.5,1,27.4,0.1,0.185,76
