,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,win_shares_per_40_minutes,height
tautvilas-tubelis-1,0,0,0,0,-17,,-3.7,5.5,1,0,0.333,6,0.333,2,0.5,3,0.333,1,10,0,21,-13.3,0,0,-0.1,2,-8.4,5,4,0,0,arizona,0.5,3,0,0,2.8,1,0.337,28.8,3,3,0.667,2,23.2,-0.1,-0.112,79
grant-weitman-1,0,0,0,0,-6.6,,1.4,15.5,3,0,,1,0,0,0,0,,0,10,0,19,-8,0,0,0,1,-3.4,0,0,0,0,arizona,1,1,0,0,8.5,3,,50,1,0,,0,4.8,0,0.013,76
nikola-maric-1,14.1,135,3.3,56,-2.3,,-0.8,15.7,280,2.6,0.542,655,0.524,343,0.432,283,0.671,190,78,62,2039,-1.5,7,115,2.5,240,15.9,900,871,0.9,33,arkansas-little-rock,0.105,69,0.348,24,11.5,395,0.57,21.5,216,586,0.544,319,24.7,5.1,0.1,82
deantoni-gordon-1,5,8,2.8,7,-4.5,,-0.7,12.1,34,0.6,0.443,88,0.432,38,0.227,20,0.65,13,27,7,312,-3.8,6.4,18,0,27,9.5,91,87,1.6,9,arkansas-little-rock,0.125,11,0.182,2,9.3,52,0.467,15.6,18,77,0.468,36,17.6,0.7,0.084,79
jovan-stulic-1,5.1,31,0.5,4,-2.8,,-0.5,7,67,1.2,0.521,218,0.408,89,0.243,53,0.736,39,56,49,1095,-2.2,2.5,22,0.8,75,8.6,266,237,1.9,36,arkansas-little-rock,0.688,150,0.327,49,4.8,89,0.547,15,43,68,0.588,40,13,2.1,0.076,77
isaiah-palermo-1,11.3,47,1.8,12,-4.2,,0.1,11.2,78,1.2,0.454,206,0.413,85,0.369,76,0.684,52,52,11,797,-4.3,2.3,15,0.2,84,10,239,228,2.6,36,arkansas-little-rock,0.252,52,0.327,17,6.9,93,0.494,18.5,55,154,0.442,68,18.7,1.4,0.069,77
marko-lukic-1,9.9,49,1.1,9,-1.2,,-1.5,8.1,70,1.1,0.503,316,0.405,128,0.358,113,0.779,88,47,6,997,0.3,2.8,23,1.6,67,13.9,406,367,1.7,29,arkansas-little-rock,0.623,197,0.315,62,5.6,93,0.549,14.8,64,119,0.555,66,22,2.7,0.108,79
kevin-osawe-1,7.8,14,0.3,1,-2,,-0.9,18.6,56,0.6,0.455,101,0.386,39,0.178,18,0.778,14,32,0,337,-1.1,8.5,24,0.4,17,13.8,106,107,1.5,9,arkansas-little-rock,0.416,42,0.333,14,13.7,80,0.484,9.9,12,59,0.424,25,17.7,1,0.121,78
dj-smith-1,21.5,18,0,0,-7.1,,-0.7,11.1,14,0.3,0.355,31,0.355,11,0.677,21,0.714,15,7,5,139,-6.4,2.5,3,0.1,10,11,37,44,3.1,8,arkansas-little-rock,0.29,9,0,0,6.9,17,0.451,19.6,10,22,0.5,11,17.3,0.4,0.104,72
marko-andric-1,22.1,49,0.6,2,-4.4,,-0.6,13.6,48,0.6,0.5,84,0.44,37,0.298,25,0.8,20,29,16,412,-3.8,1.8,6,0.1,39,10.3,104,115,2.2,16,arkansas-little-rock,0.286,24,0.417,10,7.8,54,0.542,28.9,39,60,0.45,27,16.4,0.8,0.075,74
